split,random_state,country,satellite,bands,num_features,points,month_range,year_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,2014-2021,False,False,True,False,384,307,77,[100.0],[0.6011257990488493],0.6093673207714196,0.7851555151148695,0.6164691829152961,0.8034087719649916,0.8976176238954199,0.8057173987276595,0.4228513443074253,0.6867981236869422,0.4716916626999043,-0.15698684943156693,0.3796685549227903,0.14414821159715982,-0.2405411851704813,0.11032512631649699,0.012171633496751016
0,670487,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,2014-2021,False,True,False,False,384,307,77,[100.0],[0.609788513470945],0.63110337340589,0.796707090258206,0.6347421876676972,0.7940630520139564,0.8925635184535887,0.7966696344742498,0.4029996023703104,0.6585683836958438,0.43371231600375615,-0.15505031278254866,0.3633036146603811,0.13198951642529866,-0.15005711632397833,0.13977373630571457,0.01953669736085943
0,670487,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,2014-2021,False,True,True,False,384,307,77,[100.0],[0.5898551111896969],0.6009646267561985,0.7796343827838126,0.6078297708186964,0.7926679114098629,0.8916648674301948,0.7950662358093069,0.4543728576726037,0.7054774774369004,0.4976984711707323,-0.19822505308009797,0.36458905316409373,0.13292517768709036,-0.10978399783123804,0.22483990673492904,0.050552983660571586
0,670487,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,2009-2021,True,True,True,False,936,748,188,[1.0],[0.5095080431382376],0.5132363377062918,0.7197942796803285,0.518103805060523,0.7036549569854817,0.8417943987838457,0.7086178098238561,0.5510797449805225,0.7468330038883613,0.5577595356969131,0.06432912788594092,0.420323125988035,0.17667153024035354,-0.031111789840732706,0.3854340176153923,0.14855938193514254
0,670487,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,2009-2021,True,True,False,False,936,748,188,[1.0],[0.5108872156734575],0.5140123194173731,0.720844312672466,0.5196165231122398,0.7064772848329224,0.8433427077128506,0.7112269226524425,0.5504316804740763,0.7470312502657566,0.5580556888736194,0.05262423392369153,0.4192268571577128,0.17575115776233333,-0.08046329974272703,0.36269336617588854,0.13154647786799717
0,670487,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,2014-2021,False,True,False,False,376,300,76,[1000.0],[0.5065165796701716],0.5154664942362308,0.718020215745309,0.5155530302189402,0.6430105124624008,0.8056349042753967,0.6490475989868276,0.611721540300194,0.7824725903004897,0.6122633545715579,0.043967531741474164,0.4198574014503813,0.17628023755266664,-0.039329732405971374,0.25749680268674646,0.06630460339389724
0,670487,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,2016-2022,False,True,True,False,490,392,98,[10.0],[0.559593638707282],0.5893245338139779,0.7689538847122024,0.591290076813987,0.7764315074669614,0.8830022456629385,0.7796929658457924,0.63647437445926,0.8023561516733506,0.6437753941280688,0.04592751753374269,0.4912408501013575,0.24131757280830438,-0.8109373423193711,0.19222267156307202,0.036949555462844653
0,670487,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,2016-2022,False,False,True,False,497,397,100,[10.0],[0.554890722968317],0.5702411864495777,0.7558966235920008,0.5713797055577869,0.7597747310941243,0.8740142948200401,0.763900987549772,0.6730027855586487,0.8224025539962472,0.6763459608195502,0.008824551698907834,0.4424082048840932,0.1957250197487658,-0.40382480221622896,0.4872071441923271,0.237370801352043
0,670487,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,2016-2022,False,False,False,False,497,397,100,[10.0],[0.582675897502668],0.6012593714675745,0.7776444578476857,0.604730902821221,0.7878987471803678,0.889432695127421,0.7910905191616278,0.6590580657258098,0.8131389614200706,0.661194970579311,-0.009541536657142746,0.420634459732529,0.17693334871447655,0.059469143740915054,0.5787731491484227,0.33497835817518234
0,670487,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,2014-2021,False,True,True,False,376,300,76,[1000.0],[0.5148002118812208],0.5235052220429908,0.7235976904686119,0.523593617651509,0.65021196350601,0.8099531978056203,0.6560241826355502,0.6134671202063513,0.7833251473344642,0.6135982864465601,0.045061443077845764,0.4250690726813293,0.1806837165501652,-0.06809040273196754,0.24612562779976827,0.06057782465983006
0,670487,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,2016-2022,False,True,False,False,490,392,98,[1.0],[0.6289483957306564],0.6560570823627359,0.8149541571306862,0.6641502782245872,0.8816791494163947,0.9398826537764778,0.8833794028699146,0.6410950003806144,0.8034301502387304,0.6455000063126289,-0.057592706759771906,0.48595034995566944,0.23614774262203758,-0.3058802634267952,0.3055598270122154,0.093366807883735
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,2016-2022,True,True,False,False,504,403,101,[0.09999999999999999],[0.5471727006076238],0.5723904851108279,0.7585269106231792,0.5753630741395446,0.775912318282536,0.8829440354038383,0.7795901696552144,0.6498138404260059,0.8152944122042742,0.664704978571513,-0.26490111796874194,0.27879590549978595,0.07772715692344558,0.465823287222198,0.7258886782308189,0.5269143731836854
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,2016-2022,True,False,False,False,504,403,101,[0.09999999999999999],[0.5108322159441349],0.5360200995864541,0.7362582882363365,0.5420762669967004,0.7588811426697222,0.8733277394971364,0.7627013405751781,0.6339909953608545,0.8045258229011627,0.647261799714793,-0.29440237272040837,0.272855912344415,0.07445034890130307,0.47492395989314096,0.7238066549761544,0.5238960737877698
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,2016-2022,False,True,False,False,490,392,98,[1.0],[0.5774887542616483],0.6032444062157929,0.7856350207844203,0.6172223858829364,0.8461134084110613,0.9208642699149567,0.8479910036060063,0.4538422807618202,0.6881061483523055,0.4734900714002451,-0.2392686400281554,0.4549557502881161,0.20698473472022264,-1.9494718433929212,-0.007253642287655744,5.2615326437267656e-05
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,2016-2022,False,True,False,False,490,392,98,[10.0],[0.5203471844209154],0.5502437678567667,0.750485532343893,0.5632285342574965,0.8294991732732028,0.912240739769129,0.8321831672945278,0.52882345550436,0.7331161544400878,0.5374592959010227,-0.09760143704749646,0.5099543926302654,0.2600534825629029,-1.0292368094634665,0.33770019129573303,0.11404141920117468
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,2016-2022,False,True,True,False,490,392,98,[100.0],[0.41363046814353704],0.4448146205443212,0.6741714468857816,0.4545071397960682,0.70618143729492,0.8433115178603274,0.7111743161558893,0.5019587018147053,0.7127132219541735,0.507960136748299,-0.02009607892113552,0.4975063676757918,0.24751258587796016,-0.828897857591649,0.23760150440927275,0.05645447489754966
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,2016-2022,False,False,True,False,497,397,100,[100.0],[0.4292864644459005],0.4515797628996474,0.6803241091173593,0.4628408934463286,0.6968521762652675,0.8382087858207516,0.7025939686270987,0.548012450201274,0.7471564360568133,0.5582427399411188,-0.020116700752618177,0.4895857573778903,0.23969421382728245,-0.3022301997086436,0.5028582014846453,0.25286637080037216
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,2016-2022,False,False,False,False,497,397,100,[100.0],[0.4737733150384672],0.4976138134775534,0.7096062662650006,0.5035410531225549,0.7074429510738875,0.8443459305981346,0.7129200505176299,0.5737789049706704,0.7617830815438388,0.580313463326427,0.035005880705106796,0.49605428786144795,0.24606985650572827,-0.03249312584390762,0.5803958096451036,0.33685929585359536
0,670487,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,2009-2021,False,True,True,False,923,738,185,[10.0],[0.45552125507601915],0.4509561104088796,0.6849745622767051,0.4691901509661637,0.718349718503413,0.8500528246647557,0.7225898047205299,0.49180324415578613,0.7196782117696593,0.5179367284959746,-0.15933884467214088,0.27604288178700837,0.07619967258527627,-0.07600422386925532,0.35991573750825584,0.1295393381061117
0,670487,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,2009-2021,False,True,False,False,923,738,185,[10.0],[0.46834458230984044],0.4633101523313343,0.6926274529530264,0.4797327885841968,0.7216164199112691,0.8519111246906425,0.7257525643716753,0.47756295370011703,0.7139800895204274,0.5097675682315974,-0.13539918831939257,0.29288414850344724,0.08578112444458934,-0.11768791801794154,0.34465480343392263,0.11878693353007584
