country,satellite,bands,num_features,points,month_range,year_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,2016-2022,False,True,True,False,490,392,98,[10.0],[0.5428115116110697],0.5517116284238532,0.7480558114848518,0.5595874970962601,0.7496190581886781,0.8669585903278216,0.7516171973432036,0.6260507805781015,0.7968473295323663,0.6349656665828635,-0.10479214114098179,0.44824047495961467,0.20091952339202093
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,2016-2022,True,True,False,False,504,403,101,[1.0],[0.31924008329332343],0.3377226730286731,0.593941522444639,0.35276653208385567,0.5885933803140819,0.7703005354369975,0.5933629148945251,0.44375164828764513,0.6676014210492306,0.44569165738695204,-0.25995966820403105,0.2666395121890585,0.07109662946041909
ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,2016-2022,True,True,True,False,504,403,101,[1.0],[0.3112687699697779],0.3289752685179299,0.5864116489960521,0.3438786220782691,0.5847497472533453,0.7680918053691241,0.5899650214752005,0.39915883511452555,0.6356087184934487,0.4039984430248841,-0.2751257581986333,0.25452922842021597,0.06478512812019048
ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,2016-2022,False,False,False,False,497,397,100,[1.0],[0.507522839697992],0.5156468109443237,0.7296030709811584,0.5323206411851372,0.7831876938801496,0.8868363187224967,0.7864786562052697,0.6805152394242713,0.8262256170515629,0.6826487702722359,-0.21200158032473104,0.35459289950159806,0.12573612437695042
ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,2016-2022,False,False,True,False,497,397,100,[10.0],[0.5170089173984104],0.5192682433549296,0.7250347752588935,0.5256754253347142,0.6898953530159286,0.8319884437644067,0.6922047705575194,0.7008950985665926,0.845645472430324,0.7151162650419058,-0.07013983047535333,0.4253080487197384,0.18088693630579136
ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,2016-2022,False,True,False,False,497,397,100,[1.0],[0.5101905618775225],0.5190558404322366,0.7329057728681072,0.5371508719033975,0.7860161847609364,0.8884839873618737,0.7894037957984542,0.7433797149439392,0.864652679260192,0.7476242557518283,-0.21993383473161998,0.3566186836283623,0.12717688551282597
ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,2016-2022,False,True,True,False,497,397,100,[10.0],[0.5202560389745352],0.5235715115346251,0.7280287750456527,0.5300258972944736,0.6949508709938641,0.8350681786034937,0.6973388629161564,0.71790273006925,0.8560627117221185,0.7328433664010269,-0.056275271757640466,0.43177530209580206,0.18642991149992114
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,2016-2022,True,False,False,False,504,403,101,[0.01],[0.554393318033598],0.563917479194209,0.7646155904409582,0.5846370011453751,0.8678596160546457,0.9331532144505201,0.8707749216393385,0.623795432327799,0.7986163746948586,0.6377881139307587,-0.25180302156365,0.36612665935891897,0.13404873069332188
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,2016-2022,True,False,True,False,504,403,101,[0.09999999999999999],[0.51829000992299],0.5283732145025172,0.7346774299965233,0.5397509261462964,0.7743353101194517,0.882236096539889,0.7783405300379403,0.6639909614813004,0.8186920163252304,0.6702566175946713,-0.27009189050811,0.3239402271343707,0.10493727075586769
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,2016-2022,True,True,False,False,504,403,101,[0.09999999999999999],[0.5390684165644007],0.5569080361269254,0.752635681738002,0.566460469425227,0.7705324825359849,0.8798029404729956,0.7740532140649293,0.7044228463602347,0.8420466488554406,0.7090425588486776,-0.15712443575806678,0.38136027114775395,0.14543565640988843
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,2016-2022,True,True,True,False,504,403,101,[0.09999999999999999],[0.515480791575091],0.5243410039779897,0.7321833788589639,0.536092500277329,0.7727948343302361,0.8813487705105868,0.776775655280523,0.6732001767660462,0.8236921989686115,0.6784688386417466,-0.28196843540170025,0.31816018743802077,0.1012259048705965
