split,random_state,variables,year_start,hot_encode,anomaly,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
2,26225,pre,2009,True,False,936,748,188,"[0.1, 0.01]","[0.5048993762701551, 0.5920491654422466]",0.5943595737961755,0.7717945078567721,0.595666762357877,0.6812171634202521,0.8256220233988443,0.6816517255212018,0.555738481558931,0.746099077366849,0.5566638332476633,-0.08946962313874862,0.025438495755211944,0.0006471170662879361,0.11458836748901158,0.34036463053782484,0.11584808172115
4,288389,pre,2009,True,False,936,748,188,"[0.1, 0.01]","[0.5037357828008983, 0.5899023095921052]",0.5905279520451234,0.769565281074087,0.5922307218346384,0.6888060246695025,0.8301377544634096,0.6891286913855522,0.5106715593822158,0.7203700179481908,0.5189329627586767,-0.15491077823239974,-0.07777095599614722,0.006048321596554667,0.18362296114592636,0.5370460890539426,0.2884185017681352
9,107473,pre,2009,True,False,936,748,188,"[0.01, 0.1]","[0.5041932013965985, 0.5843852816031585]",0.5871714151491509,0.7664303037821127,0.5874154105555416,0.6759451634240992,0.8237384402914751,0.6785450180138322,0.5733651167877971,0.7598217779885091,0.5773291343056193,-0.0719384589316514,0.14292710194043465,0.020428156469091397,0.09736126794341615,0.3355148184844941,0.11257019342268303
6,234053,pre,2016,True,True,432,345,87,"[0.1, 1000000000.0]","[-0.05139707320564435, 0.1144145697044732]",0.1396218114504959,0.37368983595359706,0.1396440934950263,0.18686350455012624,0.43985601309922806,0.19347331225954828,0.002418930460093116,0.27167800128784614,0.07380893638375893,,,,,,
1,116739,pre,2009,False,True,936,748,188,[0.1],[0.10780959379594238],0.11705993236374512,0.34214439957085496,0.11706279015770085,0.14193737973645992,0.3790957950174022,0.14371362179987623,0.03768009731172217,0.2303144265036764,0.05304473505571736,,,,,,
0,670487,pre,2009,False,True,936,748,188,[0.1],[0.10354082308151735],0.11070053499285859,0.3330851441790794,0.11094571327279812,0.14774965433904252,0.38658077624809223,0.14944469656457754,0.029954822092761346,0.21190814841815286,0.044905063366009905,,,,,,
2,26225,pre,2009,False,True,936,748,188,[0.1],[0.10041338582777881],0.10632662466712228,0.32608309267306745,0.10633018332723229,0.1293219124339131,0.36180671262945385,0.1309040973037322,0.09265320549258915,0.30853452940554316,0.09519355583549997,,,,,,
7,146316,pre,2016,True,True,432,345,87,"[0.1, 1000000000.0]","[-0.05315269563842835, 0.13637280252603]",0.1531057486669133,0.3917182373883178,0.1534431775026105,0.20183979844818134,0.4568326560462954,0.20869607563031284,-0.14732138520057636,0.07346791189588364,0.005397534078341321,,,,,,
9,107473,pre,2016,True,True,432,345,87,"[0.1, 1000000000.0]","[-0.14720162674040232, 0.06067560736435014]",0.07321873440407312,0.27566297504822074,0.07599007581243597,0.13480859532800304,0.37573730339650935,0.14117852116368051,0.19848907101312518,0.5019581967758064,0.2519620313104192,,,,,,
8,772246,pre,2016,True,True,432,345,87,"[0.1, 1000000000.0]","[-0.10363946223573914, 0.1045817634807648]",0.11790347891001418,0.34342657464948967,0.1179418121754815,0.15771816666648208,0.4037042213390197,0.16297709832694418,0.13218137621448478,0.3818115359625982,0.14578004899411842,,,,,,
0,670487,pre,2016,True,False,432,345,87,"[0.1, 1.0000000000000003e-09]","[0.535788206489787, 0.6752616004963043]",0.7025320975143494,0.8406933022329584,0.7067652284193563,0.8291159029122361,0.9105679308619476,0.8291339567142086,0.6482332081420794,0.8193403511795908,0.6713186110710951,-0.45505977587697655,-0.23981593082236263,0.05751168067619622,0.23870749721957174,0.603253476943459,0.3639147574443724
3,777572,pre,2009,False,True,936,748,188,[0.1],[0.10323192825078553],0.10965549160908739,0.33117361329370015,0.10967596214200526,0.13469631049406827,0.3691543105794005,0.1362749050193525,0.0613507939453396,0.2741242301755501,0.07514409356933797,,,,,,
4,288389,pre,2009,False,True,936,748,188,[0.1],[0.054347513738164266],0.06690290652310771,0.2608867823583788,0.06806191320930811,0.10582693686211808,0.327271606698427,0.10710670455096988,0.14864432634835711,0.4239428998760658,0.17972758235532796,,,,,,
5,256787,pre,2009,False,True,936,748,188,[0.1],[0.07207932993476007],0.08702313412416396,0.2975364241516536,0.08852792369695271,0.13285635703399656,0.3667726515201821,0.13452217790314497,0.06193366981207504,0.2795339607901945,0.07813923523505399,,,,,,
6,234053,pre,2009,False,True,936,748,188,[0.1],[0.07514178206709603],0.074640360177616,0.2751030702053344,0.07568169923640115,0.11181079324163457,0.3365949673419789,0.11329617203994785,0.16045595516576072,0.40826019273357905,0.16667638497085913,,,,,,
