,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2,logo_demean_R2,logo_demean_r,logo_demean_r2
1385,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,False,270,216,54,1000.0,0.6220507978070267,0.6426248416331511,0.8029905941148581,0.6447938942369328,0.9775171378337357,0.9900461635995379,0.9801914060581629,0.6408234367698753,0.8071595510510714,0.6515065408529671,270,216,54,10000.0,0.5663682482048233,0.5805150744331213,0.768832241389837,0.5911030154005206,0.8583468013505292,0.9348036469764492,0.8738578584004699,0.05467969466529099,0.5332023607106215,0.28430475746737977,0.7832225206636985,0.8854649605634317,0.7840481963855996,-26.791452614704756,0.6682149181785678,0.4465111768763901
1386,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,True,426,340,86,10000.0,0.5841758778465811,0.6343786366486439,0.7967536255014267,0.6348163397496677,0.8427124557653124,0.9231363851995095,0.8521807856792172,0.6141733682564788,0.7933994677849622,0.6294827154814613,426,340,86,10000.0,0.4976733067383952,0.5327741108491573,0.7305469282137893,0.5336988143226035,0.820621986798771,0.9117812623235714,0.8313450703243652,0.4742781002655354,0.7491283644076302,0.5611933063600512,0.5586146507440587,0.7477381443666786,0.559112332540924,-11.750505624619002,0.7034341751037957,0.4948196387039575
1387,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,426,340,86,10000.0,0.5841102681364639,0.6343185860734115,0.7967154059171688,0.6347554380257591,0.8426600475329262,0.9231062144808511,0.852125083213167,0.6140863519008669,0.7933523230640144,0.6294079085110682,426,340,86,10000.0,0.49757770144359076,0.532685607134308,0.7304847811252974,0.5336080154556736,0.8205527009673376,0.9117403329908313,0.8312704348022321,0.4741958577358629,0.7490621963228997,0.5610941739600863,0.5585755106013145,0.7477130640995777,0.5590748262251792,-11.751561424481169,0.7034063173179462,0.49478044724279524
1388,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,True,504,403,101,1000.0,0.38847875987488345,0.4179537095214215,0.6491755682984527,0.42142891847561903,0.7118467980384322,0.8534019596851156,0.7282949047943956,0.40688785432390784,0.6395226844660994,0.40898926394672613,504,403,101,100000.0,0.12479512440691219,0.18808770129275076,0.43901071291695326,0.19273040605585157,0.33877597112107416,0.6061897807142425,0.3674660502423813,-0.22814924083111987,0.38820426203358444,0.1507025490610399,0.3995968805166722,0.6566525443627143,0.4311925640180264,-12.42585526368149,0.43877378885742807,0.19252243778830286
1389,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,False,504,403,101,1000.0,0.3867682666838858,0.4163178832963945,0.6480314053981419,0.41994470238229087,0.7103140927383844,0.8523937878481553,0.7265751695621261,0.40410453743234875,0.6372397371223546,0.40607448256776757,504,403,101,100000.0,0.12474216673499204,0.1880395716237916,0.4389585730440613,0.19268462884887846,0.3387199718685491,0.6061272132665241,0.3673901986622424,-0.22822897075191406,0.3880153628802814,0.15055592183111643,0.3986973376230246,0.6562346486081918,0.430643914033917,-12.426203315968229,0.43877172781491114,0.19252062912968246
1390,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,True,490,392,98,10000.0,0.6111614604465875,0.614892735279588,0.7874580256488702,0.6200901421588167,0.808623924552892,0.9085381456512276,0.8254415621033713,0.6123531380022952,0.7886741451798913,0.6220069072752323,490,392,98,1000.0,0.34341643544994677,0.42563363157273415,0.6882708761932556,0.4737167990158317,0.9407017496551573,0.9721859919085226,0.945145602863158,0.42392331457522847,0.7114478506088079,0.5061580441358926,0.5262392359542346,0.7258370384124263,0.526839406331322,-20.92212217024092,0.7647535276936712,0.5848479581199147
1391,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,False,490,392,98,10000.0,0.6110739986650187,0.6148057630751887,0.7873978909752387,0.6199954387122539,0.8085465624168036,0.9084921139490086,0.8253579211075385,0.6122379095478178,0.7885910276120597,0.6218758088302443,490,392,98,1000.0,0.34284482665754656,0.42515922522245386,0.688055890380878,0.4734209082878228,0.9405792389058121,0.9721227427030732,0.9450226268805455,0.423182045448937,0.7112057846808988,0.505813668163573,0.5261982993279186,0.7258065787731955,0.5267951897904509,-20.939563338721914,0.7645417869926191,0.5845241440578673
1392,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,True,270,216,54,1000.0,0.6631252198492955,0.6768383626760638,0.8232432626829567,0.6777294695528796,0.9849404144559797,0.9935382889726242,0.9871183316546497,0.70111722853806,0.8504750467656893,0.7233078051711014,270,216,54,10000.0,0.5259822426627975,0.5388457219561495,0.7384240505610925,0.5452700784470509,0.8652004663420356,0.9391920704025736,0.8820817451070727,0.41328525938384375,0.6972977123835415,0.4862240996953202,0.8401392869730242,0.916781617333112,0.8404885338799166,-8.772619718921991,0.7257073202692392,0.5266511146923601
1393,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,270,216,54,1000.0,0.6630289506045347,0.6767463078676417,0.8231888589298908,0.6776398974662956,0.9849286878894612,0.9935328969633758,0.9871076173484379,0.700866511707698,0.8503664533408628,0.7231231049675177,270,216,54,10000.0,0.5259100452850196,0.5387802580006505,0.7383787391453774,0.5452031624219174,0.8651561200003588,0.9391674467417159,0.8820354930193538,0.41322655972081324,0.6972517391767904,0.4861599877850589,0.8400396278672513,0.9167252558583424,0.8403851947285433,-8.773156040564329,0.7256877722887987,0.5266227428494793
1394,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,True,490,392,98,1000.0,0.6447887850600524,0.6511934555175338,0.8084837280010967,0.6536459384425513,0.911790730559192,0.9571520481609603,0.9161400432987213,0.698704962533552,0.8451155350128823,0.7142202675201103,490,392,98,1000.0,0.4800867674304213,0.5184645374855242,0.721192235364702,0.5201182403503357,0.9040916865516376,0.953971880357317,0.910062348512475,0.34573092099403535,0.6126462621176363,0.3753354424867115,0.6631718290472934,0.8143600933895353,0.6631823617054127,-17.692695628635896,0.7402931115975614,0.5480338910787995
1395,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,False,490,392,98,1000.0,0.6444388646421849,0.650841078401052,0.8082782023160087,0.6533136523391986,0.9115476276582168,0.9570208747745401,0.915888954754226,0.6981134945167105,0.8447244287409879,0.7135593605117883,490,392,98,1000.0,0.47950087196885854,0.5179819156968825,0.7208766586583881,0.5196631569984822,0.9037753521849514,0.9537998238250721,0.9097341039287385,0.3448443895919199,0.6121328649092121,0.37470664430195977,0.6628899789932047,0.8141859385139071,0.6628987424737717,-17.70854923551025,0.7400662064484173,0.5476979899269513
1396,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,True,288,230,58,1000.0,0.6601637521955709,0.6723545025646559,0.8204800579644607,0.6731875255173647,0.9725616302624558,0.9877380680735219,0.9756264911216135,0.7871923691707233,0.8883488085452695,0.7891636056438,288,230,58,10000.0,0.5776115753448959,0.5999229073798787,0.7767613846495688,0.6033582486827154,0.830465849074091,0.9193855949581295,0.8452698722165138,0.47200100304183457,0.7592528301433954,0.5764648600807556,0.7895153838872156,0.8905666632631362,0.7931089817156362,-6.0428687685841656,0.7292591298561242,0.5318188784785114
1397,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,False,288,230,58,1000.0,0.6600353897003244,0.6722423354141287,0.820414128346397,0.6730793419903784,0.9725353205986315,0.9877253984098939,0.9756014626639837,0.7870572288128095,0.8882680841142406,0.7890201892559837,288,230,58,10000.0,0.5775374140291929,0.599858069144916,0.7767188999049446,0.6032922494695473,0.8304098998495264,0.9193530120985496,0.8452099608546758,0.4719451144765051,0.7592191049144288,0.5764136492670664,0.7894415106828038,0.8905173454847124,0.7930211426091386,-6.04349427333728,0.7292388673942085,0.531789325718388
1398,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,True,497,397,100,1000.0,0.6253381655252923,0.6308139427708835,0.7963056261031654,0.6341026501635542,0.9411167538947874,0.9727091599689965,0.9461631098875909,0.752214028159959,0.8720779870008311,0.7605200154114217,497,397,100,1000.0,0.4649374259945936,0.5183883947333343,0.7330830822555398,0.5374108054892824,0.941921882664474,0.9731202223962131,0.9469629672364552,0.4214260635101529,0.7005608244641398,0.4907854687738753,0.6759637768251339,0.8232128826244023,0.677679450118778,-19.263122892406436,0.776192540636632,0.6024748601399497
1399,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,False,497,397,100,1000.0,0.6250669262322479,0.6305480317325919,0.7961531616873796,0.6338598568648108,0.9410156532072076,0.9726573834694219,0.946062385617582,0.7519363195388018,0.8719032489144377,0.760215275467552,497,397,100,1000.0,0.4644411237744386,0.5179482764001977,0.7328397098083609,0.5370540402720025,0.9418126998306078,0.9730642727293447,0.9468540788622886,0.4209129412394458,0.7002720143161764,0.49038089403443513,0.6757014651769453,0.8230670880332115,0.6774394314034703,-19.272814740919507,0.7760462670929056,0.6022478086688333
1400,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,True,648,518,130,1000.0,0.7070289276104132,0.7098594283979854,0.8434716994471019,0.7114445077681821,0.929416107852178,0.965987601791231,0.9331320468143739,0.7563957188326913,0.8763295668238424,0.7679535096896634,648,518,130,10000.0,0.4956256340071333,0.5337866893780646,0.7340461996258079,0.5388238231850914,0.7660541933160421,0.8821987462880303,0.7782746279521725,0.45570263797009525,0.7213384210961094,0.520329117749428,0.6329425408267967,0.7957769560043128,0.63326096370749,-9.007070475380214,0.611870654183589,0.37438569745105316
1401,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,False,648,518,130,1000.0,0.7065977182980308,0.7094354097750645,0.8432330272283902,0.711041938208755,0.9292358547348815,0.965892734401544,0.9329487743696916,0.7561905235752902,0.8762149783192141,0.7677526882309409,648,518,130,10000.0,0.4954581515615011,0.5336342515744626,0.7339456081986292,0.5386761557940557,0.7659297509657084,0.8821220760001707,0.7781393569668509,0.45554227550968796,0.7212056513984568,0.5201375916090725,0.6327327583837856,0.7956512653422839,0.6330609360407775,-9.009973402701233,0.6118212989615495,0.3743253018629977
1402,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,True,504,403,101,1000.0,0.6155573225520259,0.6267410139584013,0.7920941918044636,0.6274132086903664,0.8937586141403778,0.9493531450177233,0.9012713939550423,0.6665033542012218,0.8174787641044815,0.6682715297617905,504,403,101,1000.0,0.44663825385067196,0.5023778421932223,0.7162664642873258,0.5130376478626669,0.8905355521338851,0.9476419596129086,0.8980252836189936,0.31143767027196056,0.6064384368400774,0.3677675776770365,0.5827870109632407,0.7674917839607218,0.5890436384472113,-18.61652709774136,0.7028840177261724,0.4940459423748862
