,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,total_n,train_n,test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2
26,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,490,392,98,100.0,0.36602903461394853,0.3918760850872157,0.6344612111455339,0.40254102844825773,0.2142586330932129,0.5679150262801005,0.32252747707472723,0.20357855319676033,0.5873650284385268,0.3449976766325914,100000000.0,-0.43905651411442875,-0.10863170801717859,-0.5493130504104208,0.3017448273512015
27,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,504,403,101,0.1,0.17108562138714203,0.19815658704416106,0.48938038983946947,0.2394931659594311,0.21765894063728786,0.5622240971858105,0.31609593545639963,-0.06772960972526931,0.3034037233997094,0.09205381937280736,1e-06,0.1962677744275687,0.5379718566859699,0.7668474090044407,0.588054948696824
28,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,376,300,76,1000.0,0.2513853265748935,0.2590268531057893,0.5095976600963403,0.2596897751756652,0.12598030369377589,0.41774778943965823,0.17451321558172103,0.009310320583073795,0.22693178773572742,0.05149803628493325,1e-08,-0.009293012240652931,0.27723877899585747,0.5965393463886116,0.35585919178975195
29,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,504,403,101,1.0,0.33738672813728376,0.3457490143152032,0.5982697063113569,0.35792664148987724,0.17319137915677962,0.5240233367638808,0.27460045747315165,0.07756549950326252,0.39281827052169166,0.15430619365565293,1e-05,-0.2921121136162033,0.24318409988571033,0.6433686742324692,0.41392325098364513
30,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,490,392,98,10.0,0.34272274509408496,0.35523496007415145,0.608458533080246,0.37022178647816484,0.18456943447905638,0.5245321150991958,0.27513393977043604,0.10032648343453354,0.43028459848381884,0.1851448356923812,100000000.0,-0.43892333628443075,-0.10902061308383182,-0.5492669632443088,0.30169419691162486
31,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,936,748,188,1.0,0.24279045782722442,0.2682924242175184,0.5361445744054829,0.2874510046644364,0.3222889930519385,0.6727541359117256,0.4525981273863326,0.081637750815853,0.3161171193440059,0.09993003314235245,1e-08,0.18186427207596131,0.45040008158270817,0.6947476249280472,0.4826742623431626
32,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,384,307,77,1000.0,0.13403694478304018,0.21366711152495277,0.46259595850918456,0.2139950208290312,0.08941853363787045,0.3620744460287839,0.13109790446705075,0.028254184743539246,0.32663035370696014,0.10668738796273389,0.0001,-0.0419345587044922,0.5310687604791642,0.7611547887925045,0.5793566125017622
33,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,504,403,101,0.1,0.21583389491240385,0.2227136832861617,0.5124891031170918,0.2626450808137612,0.19969802702911232,0.5302715722365913,0.28118794032226646,0.08834611202256837,0.40997414615694455,0.16807880051711574,1e-08,0.6237918450149519,0.7758476887753392,0.881268388932942,0.7766339733324632
34,ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,490,392,98,100.0,0.3603557554272344,0.3811572207832151,0.618355253556517,0.38236321960094444,0.16054498477917512,0.47171172233149944,0.22251194898494964,0.10081925438158346,0.45581671283152325,0.20776887569653532,1e-05,0.5440135257020188,0.7453178052691543,0.8673370918119171,0.7522736308327539
35,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,True,384,307,77,1000.0,0.11843490424797773,0.22292822932279144,0.47466670853009935,0.22530848418679827,0.10907678265845444,0.40114110318396873,0.16091418466365146,-0.02751279184286659,0.26345287528506856,0.06940741749596989,100000.0,-0.5502871020678902,-0.09507957490838748,-0.43814950027208005,0.1919749845886735
36,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,504,403,101,0.1,0.13998099662599786,0.16857646983009245,0.46779061332631866,0.21882805791621338,0.2140740884630159,0.5584776264316159,0.3118972592246915,-0.07968574852527466,0.29401591443418673,0.08644535794057101,1e-05,0.09684936086829225,0.48432461957591955,0.724119066381422,0.5243484222971022
37,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,497,397,100,100.0,0.3154290908032783,0.3371327510580616,0.5813970419954613,0.33802252044107217,0.17966129466300873,0.49028882522304823,0.24038313213859674,0.02665900388772291,0.30722907523616394,0.09438970467046848,0.0001,0.6667445879322383,0.7464496030720995,0.8644340244774524,0.7472461826742849
38,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,497,397,100,100.0,0.31588393648182833,0.33587108715043,0.5801088020781268,0.33652622224851925,0.17484753257171848,0.48569809056421875,0.23590263517772805,0.045295842039023926,0.3431082702506141,0.11772328511436843,0.0001,0.6129340287621875,0.7282983434152654,0.853553007419067,0.7285527364741339
39,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,497,397,100,100.0,0.42615472668528936,0.4371060178743549,0.6652716457188291,0.4425863625974393,0.2558012697508184,0.6028131518492146,0.36338369604238424,0.09718649509621224,0.45799134899436234,0.2097560757536758,100000000.0,-0.43565510792064976,-0.1073516105859964,-0.5459631082199041,0.29807571553713874
40,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,504,403,101,0.1,0.40541957394965183,0.4284123657430453,0.6637487824352674,0.4405624461842999,0.2625748125881612,0.6280289037133924,0.3944203038994455,-0.057412518018412406,0.37191189174834666,0.13831845522383393,0.0001,0.0700198539711577,0.43685156455621,0.6981760897972563,0.4874498523645865
41,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,376,300,76,1000.0,0.25121965177380573,0.2595053450373779,0.5099728642308136,0.2600723222517798,0.12304985702408511,0.41161154012273465,0.1694240599622096,0.009520715422451254,0.22450186613221518,0.050401087896847066,100000000.0,-0.5608555369023241,-0.11120588678636723,-0.6029344846009176,0.36352999272097414
42,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,504,403,101,1.0,0.25429948829800014,0.2765505950972551,0.5653174190128047,0.31958378423929906,0.25443447270006103,0.6021868543475158,0.3626290075489563,0.04818069594493335,0.4380980526363992,0.19192990372380522,100000000.0,-0.4321225595529339,-0.10748370955739195,-0.5455367753517989,0.29761037326123907
43,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,936,748,188,1.0,0.24481276304289362,0.26805115017138326,0.5352988625383529,0.2865448722348544,0.317919980134834,0.6691203785076021,0.44772208093415666,0.07604440080190211,0.307685118960396,0.09467013242967305,1e-08,0.12155276799099693,0.4102468956439185,0.6761222624474795,0.4571413137770984
