,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2
28,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,376,300,76,1000.0,0.24569785848878575,0.2558934959778628,0.5061998533948036,0.25623829157692063,0.3977319030549217,0.6434484518587884,0.41402591019947155,0.17159468774623932,0.4385361161657263,0.1923139251817194,376,300,76,100000000.0,-0.6556667146715011,-0.12056504742570295,-0.5776005825263251,0.3336224329347501,0.00019495954914927616,0.18789480758406515,0.035304458717052865,-0.5427550062527087,0.01806299489836723,0.0003262717846984406
29,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,506,404,102,10.0,0.24036319362407327,0.24215591687122084,0.4941948952740114,0.2442285945148911,0.3994776590445275,0.6384756087066776,0.40765110291336254,0.2076880365624646,0.4862270541564744,0.23641674819368308,506,404,102,100000000.0,-0.44076329970293276,-0.1290018704950282,-0.5413496012912835,0.2930593908182316,1.9496190955536896e-05,0.1070508295089487,0.011459880098554002,-0.04261785033189369,-0.1182948385892717,0.013993668836861844
30,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,492,393,99,100.0,0.29551453133439204,0.2937413533299882,0.5429155841846023,0.294757331550508,0.43244133779930116,0.6642861368101799,0.44127607155819304,-0.021779034203057934,0.32322316584319144,0.10447321493769524,492,393,99,100000000.0,-0.4468877824766378,-0.13071867425317074,-0.5448563623873911,0.29686845563402003,7.686137510876101e-05,0.12613838089184012,0.015910891134014938,-0.04760915089910722,0.15538645923321664,0.024144951713036097
31,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,936,748,188,1.0,0.23540926630908282,0.2619714184066929,0.5313307203709894,0.2823123344099545,0.5379348984024996,0.7383758221464053,0.54519885473038,-0.017537142181192067,0.28071607974639856,0.07880151742818639,936,748,188,100000000.0,-0.560763960348209,-0.08568732372974175,-0.6713959493615711,0.45077252081912533,4.327970578810181e-05,0.3273032062648531,0.10712738883125297,-0.25784766910871815,0.12146686663465302,0.014754199690040583
32,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,384,307,77,1000.0,0.09627101637853108,0.1861298890534483,0.43204194329411416,0.18666024076535456,0.35029313218556757,0.6080382847323934,0.36971055570031114,0.19597862989735593,0.47319201349976037,0.2239106816399574,384,307,77,100000.0,-0.6542678528025616,-0.10610714551519251,-0.46378089855505056,0.2150927218645301,0.05776834412567455,0.41166087562420983,0.16946467651969116,-0.5276411559319818,-0.15306806678706053,0.023429833069928022
33,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,506,404,102,1.0,0.15433334009605099,0.1471579419545036,0.41727037829167146,0.1741145685996746,0.3801550145321274,0.6202756938067988,0.38474193632750564,0.24323144638554106,0.5496897489681326,0.30215882012064865,506,404,102,100000.0,-0.41944421088456557,-0.10876885224887389,-0.42346227823856325,0.17932030109099437,0.04728833297075208,0.4046202475804249,0.16371754475204436,-0.04932906781034574,-0.04082129021056689,0.0016663777344553244
34,ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,492,393,99,100.0,0.3438462543089729,0.34026445476900924,0.5849878525223398,0.3422107875986987,0.49472681892500703,0.7075281848316461,0.5005961323311641,0.1259065186953916,0.45755421822649617,0.20935586261686007,492,393,99,100000.0,-0.39364039751625796,-0.0865931546530545,-0.18334587739603195,0.03361571075812078,0.0998687867443715,0.38850021345375346,0.150932415853612,-0.2645962157251085,-0.18902504437093862,0.03573046739943531
35,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,True,384,307,77,1000.0,0.08527294471621112,0.19771242019068902,0.44876914871798224,0.20139374884106245,0.39180352406160746,0.6369374407750202,0.40568930346103244,0.04616580724417063,0.331182288603082,0.10968170828437511,384,307,77,100000.0,-0.652166707901871,-0.10730873641365002,-0.44217354162571276,0.19551744091382595,0.07143971611173972,0.4370045126003855,0.19097294403310047,-0.5211265462932495,-0.05131665769786261,0.002633399357279602
36,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,506,404,102,1000.0,0.07819883618079801,0.08655686635645632,0.2970162449852158,0.08821864978511772,0.15187937541097485,0.39570066446912416,0.15657901586130638,0.08866615018913382,0.3201245588374781,0.10247973317088997,506,404,102,100000.0,-0.41773342601503244,-0.10834799026400432,-0.35853133868034603,0.128544720815921,0.05741992561352871,0.3457892517733001,0.11957020664193874,-0.27431760608798417,-0.357191056764633,0.12758545103263524
37,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,499,399,100,100.0,0.30297641454726953,0.31986971281730425,0.5658850462394515,0.3202258855574261,0.42337299205959955,0.6555602099935006,0.42975918892672266,0.3122558474801431,0.5744198991228527,0.3299582205083083,499,399,100,10000.0,-0.3779129631938288,-0.04523838044024142,0.0889402486417819,0.007910367828461988,0.22700318694871413,0.5139647907105547,0.2641598060901443,-0.1419076387103606,-0.1719110529951971,0.029553410141917466
38,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,499,399,100,100.0,0.29797111999241976,0.3138757781911842,0.5605998455302179,0.31427218680850416,0.42082119919674965,0.6534790608820679,0.4270348830113094,0.29310736132218496,0.5628470810500772,0.31679683664659214,499,399,100,10000.0,-0.3843321530050441,-0.04846109447891034,0.08448618846014556,0.007137916040523233,0.22732339818066072,0.5141137908041875,0.26431298989505186,-0.15950544583515014,-0.21519101243976843,0.04630717183485257
39,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,499,399,100,100.0,0.3448165475056953,0.35016396657535287,0.6042287579622299,0.36509239194857895,0.6033994878312028,0.7804140033354834,0.6090460166021159,0.2521582358443464,0.544778422823268,0.2967835299738074,499,399,100,100000000.0,-0.44349855701741675,-0.12871391801467258,-0.5414523751301878,0.29317067453412166,0.0029781351699766923,0.5106793554449588,0.2607934040776786,-0.04472867932249902,-0.23762580356733692,0.05646602252102259
40,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,506,404,102,10.0,0.2326206113287169,0.239669265572224,0.49068437435535117,0.24077115523650242,0.3893032133442734,0.6318180161913806,0.39919400558401164,0.1107595394044063,0.41065469733203813,0.16863728044086784,506,404,102,100000000.0,-0.4407659646677249,-0.12900450548079667,-0.5413569790493431,0.29306737876543093,1.7693195037971066e-05,0.10492734076377493,0.011009746839757343,-0.042614059153502915,-0.0030697640152878547,9.423451109556212e-06
41,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,376,300,76,1000.0,0.24607776945575538,0.2566479530399196,0.5069249977992993,0.25697295339381965,0.3975357181907172,0.6435963693193402,0.4142162866010365,0.16211512401516837,0.4313276843239585,0.1860435712642684,376,300,76,100000000.0,-0.655662165136813,-0.12056358700569669,-0.5776020316531209,0.3336241069698128,0.00019256888049223875,0.18754118610450082,0.03517169648548301,-0.542779916681037,0.015499687606177107,0.0002402403158890802
42,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,506,404,102,1000.0,0.20781992705044677,0.2128938505373542,0.46202147084953193,0.2134638395259649,0.2779285605442813,0.5297705787839676,0.28065686614510005,0.2141317456510018,0.4727137737647392,0.22345831190690105,506,404,102,100000000.0,-0.44097016842471803,-0.12888395396381358,-0.5411388228869112,0.29283122563543185,0.002099843633164844,0.4011154516585702,0.16089360555925877,-0.042435752188391795,-0.284165472481833,0.08075001575082338
43,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,936,748,188,1.0,0.2381722198601409,0.2626013094646804,0.5310890796405525,0.28205561051344913,0.5345547265766815,0.7359749270877974,0.5416590933018888,-0.0038246927577760825,0.283653725798637,0.08045943615944835,936,748,188,100000000.0,-0.5607621670756983,-0.08568677342973108,-0.6713915340445585,0.4507665919867056,4.1661066960907434e-05,0.3317232819712123,0.11004033580175243,-0.25784137300341703,0.1508454813483627,0.02275435924321924
