,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2,logo_demean_R2,logo_demean_r,logo_demean_r2
2663,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,490,392,98,1000.0,0.6427788150138438,0.643859731563506,0.8050215182989133,0.6480596449242877,0.9313370128349401,0.9674230935340408,0.9359074419029734,0.7169968378188205,0.8500308726064962,0.7225524843841614,1000.0,0.48364271359774014,0.5601153117886226,0.751249796623945,0.5643762569275187,0.6945361117032418,0.8341323252437509,0.6957767360165467,0.7971515341319645,0.8933783924951356,0.7981249521771926
2664,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,True,420,336,84,1000.0,0.7320368780869002,0.7371223148333956,0.8591732795596074,0.7381787243092114,0.972620583974484,0.9873323585488489,0.9748251862376328,0.6469918872729841,0.8054431672165094,0.648738695615762,1000.0,0.4622152818501489,0.5514148343811898,0.7489551867778553,0.5609338718014522,0.7620450843645279,0.8739144384797762,0.7637264457834226,0.8898686268474462,0.9452866675818691,0.8935668839080351
2665,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,False,420,336,84,1000.0,0.7215375858983318,0.7270620080202417,0.853563649627779,0.7285709039658939,0.970075013379764,0.9860683648805582,0.9723308202182176,0.6298746252517213,0.7951566241422823,0.6322740569173507,10000.0,0.45343541772401535,0.5236254809205598,0.7264095547047932,0.5276708411664159,0.7544036188179584,0.8700581296869421,0.7570011490343397,0.6476071316564664,0.8073657373375727,0.6518394338266423
2666,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,True,432,345,87,1000.0,0.6349155966556347,0.6547628473867931,0.8108146685313603,0.6574204267056197,0.9345352018236373,0.9692950251473093,0.9395328457753229,0.658855282609231,0.8167725829336298,0.6671174522320731,10000.0,0.5485759659047381,0.6021992662453208,0.7822784818616338,0.6119596231837426,0.6430097820363501,0.8066935428099913,0.6507544720113352,0.5079004348531744,0.7150480100629675,0.5112936566950096
2667,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,False,432,345,87,1000.0,0.6096353055846584,0.6311805848573153,0.7972289427931074,0.6355739872270157,0.9242006745657049,0.9638849101282411,0.9290741199729273,0.6272314301624986,0.7988721705247921,0.6381967448389925,10000.0,0.5397286947474279,0.5950681427170782,0.777284715933839,0.6041715296243487,0.624930840013619,0.797941326947535,0.6367103612507928,0.5041214914439253,0.7128485885184024,0.5081531101526786
2668,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,True,426,340,86,1000.0,0.7106593736510801,0.7197479141700831,0.8491242579788545,0.7210120054881403,0.9633851223470083,0.9829086389309127,0.9661093924850194,0.6908863408969554,0.8336160944788223,0.6949157929741249,10000.0,0.4540384976298825,0.5245637903259192,0.7262780329168087,0.527479781097509,0.7498400973049911,0.8689077964818486,0.7550007587869416,0.6432170274820036,0.8045070915449377,0.6472316603460948
2669,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,False,426,340,86,1000.0,0.6988457143398296,0.7079562979224658,0.8424914688245111,0.7097918750420822,0.9591950562480553,0.9807868466173966,0.9619428384976966,0.661682283900419,0.8174079587703401,0.668155771061094,10000.0,0.44689158396072887,0.5187613609906765,0.7222764645441282,0.5216832912343653,0.7355846104967463,0.8620939812157837,0.74320603244848,0.6410215163539907,0.8028944030859173,0.6446394225066915
2670,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,True,432,345,87,1000.0,0.6300639139459644,0.6503490001899397,0.8083123582119536,0.6533688684381695,0.9344427384579532,0.9692579075436075,0.9394608913358125,0.6542415738184482,0.8135240073754668,0.6618213105762386,10000.0,0.546013317751943,0.5997302328948118,0.7805786714260629,0.6093030622852774,0.6375258669522648,0.8034881938013708,0.6455932775781892,0.5040856412021791,0.7125220114517641,0.5076876168032678
2671,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,False,432,345,87,1000.0,0.6052609503921804,0.6271808948544524,0.7949838879356699,0.6319993820773138,0.9246238976551806,0.9641339116595204,0.929554199611888,0.6221552530857619,0.7954924667197601,0.6328082646078887,10000.0,0.5371369053939531,0.592575560145072,0.7755592882264246,0.6014922095542784,0.6188445172440031,0.7944584561978949,0.6311642386243425,0.5002511226425493,0.7102911181471658,0.5045134725187511
2672,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,True,648,518,130,1000.0,0.6909890444664454,0.696000948132979,0.8353464802849843,0.6978037421245116,0.93305489971114,0.968508810335206,0.9380093156969159,0.712495762622597,0.8514085992655058,0.7248966029032506,1000.0,0.5884698243062008,0.6312542768683924,0.7993194470566806,0.6389115784429976,0.586211538859817,0.7694932324862034,0.5921198348420662,0.7187377297481179,0.8483578056353666,0.7197109663824544
2673,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,False,648,518,130,1000.0,0.6577438694472934,0.663411800125993,0.8169762445156722,0.6674501841029314,0.9214334761791927,0.9625172390297526,0.926439435429458,0.6912666791651711,0.8392578196037164,0.7043536877659842,1000.0,0.5431695402542753,0.5918608817075833,0.7774813093405577,0.604477186373908,0.5626200873363534,0.7572466501201396,0.5734224891181731,0.6978690231432134,0.8354029260725963,0.6978980488906558
2674,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,True,432,345,87,1000.0,0.6763125336135425,0.6907119214579515,0.8316870145324246,0.6917032901418574,0.9424265115659695,0.973317437720734,0.9473468345712549,0.6391252470577252,0.8061365865159522,0.6498561961195913,1000.0,0.5614039793043634,0.6270660642687632,0.7933904728966358,0.6294684424831474,0.6617623315025414,0.8190963598232724,0.6709188466757358,0.8126836932369136,0.9022714484977936,0.8140937667743067
2675,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,False,432,345,87,1000.0,0.653193215791623,0.6690629411391702,0.8190991191811018,0.6709233670432568,0.9336855308227232,0.9688061816856863,0.9385854176723991,0.5968310581265674,0.7842644828292278,0.6150707790273962,1000.0,0.5277393293441374,0.6001459863238938,0.7773601647897961,0.6042888258020189,0.6401344174451777,0.8091395501549961,0.6547068116250294,0.8009660300400389,0.8952303937059474,0.8014374578149055
