country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,True,648,518,130,100.0,0.6953603544045228,0.6979598955035277,0.8431937103761803,0.7109756332179498,0.9686030872338602,0.9851411361009226,0.9705030580382165,0.7311986580580316,0.8657977060060185,0.749605667725284,0.6678796585867113,0.8180777708229815,0.6692512391146986
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,True,936,748,188,1000.0,0.5543288353737059,0.5578538710385927,0.7505254234000964,0.563288411169894,0.8122726167113279,0.9077501816572001,0.8240103922986798,0.5754861013833465,0.7602669386685708,0.5780058180324803,0.4965426840366819,0.7088559042835838,0.5024766930376974
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,False,432,345,87,1000.0,0.5180293656340659,0.5456916491092054,0.7418361261699523,0.5503208380908414,0.7550158238390207,0.8755931500523783,0.7666633644186466,0.4278029615964163,0.670742734034986,0.4498958152607279,0.42109074019791604,0.6578519194512682,0.43276914792571786
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,False,432,345,87,1000.0,0.6605282463427388,0.6806625409575466,0.8250992082208545,0.680788703406681,0.8398000965983252,0.9199090660228041,0.8462326897509478,0.6100407976465059,0.7898043542902732,0.6237909180558754,0.5622905721114102,0.7499266845397481,0.5623900321847789
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,432,345,87,1000.0,0.6270403466559968,0.6490093771642464,0.8058697468940111,0.6494260489590176,0.8543808465769993,0.9303329776215581,0.8655194492501945,0.6020738960802959,0.7824115372322223,0.6121678135940892,0.5446292250110263,0.7395757787679359,0.5469723325401988
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,False,384,307,77,1000.0,0.6385336452286176,0.6521943862808472,0.8100765535531819,0.6562240226166012,0.9382988872107658,0.9712023132977502,0.9432339333549014,0.7020419856183362,0.8421221475768113,0.7091697114393807,0.6125463392234957,0.782688496149207,0.6126012820043072
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,True,420,336,84,1000.0,0.6859692621730777,0.6928996355978196,0.8327560044955902,0.6934825630234595,0.9102551789086726,0.9571960831773606,0.9162243416500806,0.49824180692177567,0.7292286120521101,0.5317743686354469,0.47884779910806885,0.7198128814187931,0.5181305842564254
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,False,420,336,84,1000.0,0.6579561746234429,0.6662701797847721,0.8170951938094857,0.667644555746561,0.8935402728505297,0.9482464375300793,0.8991713062884866,0.475238945707233,0.7183688133654077,0.516053752016024,0.4575670248764959,0.7106191491204312,0.5049795750966457
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,True,648,518,130,100.0,0.6954985963380865,0.6974994044932024,0.8427057010701569,0.7101528986161446,0.9668167998690034,0.9842491666314312,0.9687464220146669,0.7170388694549787,0.86070618787539,0.7408151418469862,0.6480998870716294,0.8065983953086319,0.6506009713144599
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,False,648,518,130,1000.0,0.6222032992232102,0.6248960227228237,0.7913227502677039,0.626191695091243,0.8325192281346433,0.9172017985622463,0.8412591392858194,0.6653479034371695,0.8161888420382724,0.6661642258677759,0.38727295487190394,0.6387221755677348,0.40796601756198025
