country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,False,432,345,87,1000.0,0.4673448516496421,0.48041450914950645,0.6934685874867821,0.4808986818309127,0.7092100887411406,0.8520124501798411,0.7259252152614561,0.1773465337916399,0.5299761981654942,0.2808747706219512,0.32616757309057054,0.6197467747028305,0.3840860647545609
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,False,432,345,87,1000.0,0.47047453011918927,0.48383894861004373,0.6960673401559836,0.4845097420318258,0.7120729749910608,0.8538706355410178,0.7290950622392217,0.17713307962104197,0.5300065290953777,0.2809069208837295,0.33058477739206393,0.6213842568186707,0.38611839462209174
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,432,345,87,1000.0,0.5784365378493129,0.6031418618819033,0.7768607587732035,0.6035126385216775,0.8294003660090878,0.917513658411497,0.8418313133716492,0.5295703742699747,0.7395949347508549,0.5470006675091214,0.530231900849589,0.735760270676186,0.5413431759054945
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,False,432,345,87,1000.0,0.491132687401277,0.5192921091054324,0.7243626759174622,0.5247012862623064,0.7961351788720495,0.8970340014914253,0.8046699998317184,0.4954358888077084,0.7075111610596765,0.5005720430240115,0.45115814109034014,0.6820571726305538,0.46520198673678503
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,True,432,345,87,100.0,0.6116188268431533,0.6382652243972986,0.8074411927195261,0.6519612797003309,0.9656141414246929,0.9837828601650556,0.9678287159545372,0.6012140703497088,0.7878656940407593,0.6207323518463275,0.6342886439954964,0.8015809912070114,0.642532085464415
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,False,432,345,87,1000.0,0.558587415688778,0.5778554820150286,0.7601882688347864,0.5778862040740295,0.824179291034845,0.9154278862767031,0.8380082149730326,0.5266776419445076,0.7298303237770396,0.5326523015044985,0.42289265943123455,0.6654307433365297,0.4427980741774065
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,False,432,345,87,1000.0,0.642112383530719,0.6632727297799305,0.8144666054642785,0.6633558514165048,0.8289229470093444,0.9141961810391798,0.8357546574266207,0.5958416390149133,0.7825201773699241,0.6123378279910574,0.5606041504142445,0.7497562141680657,0.5621343806836304
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,True,432,345,87,100.0,0.6831291819191048,0.6985766498478272,0.8358934617187775,0.6987178793442014,0.9527327261060984,0.9785985234650344,0.9576550701279455,0.48860864911537105,0.7259908301170053,0.5270626854139784,0.5378642169843297,0.7501174300085016,0.5626761588025593
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,432,345,87,1000.0,0.5699061285842217,0.5875009355195271,0.7665139778191921,0.5875436781922009,0.826984471458932,0.9169207519670005,0.8407436653877297,0.5344687302905751,0.7350229407357501,0.5402587234078301,0.43540506611225505,0.6735388568459316,0.4536545916813244
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,432,345,87,1000.0,0.6452797525857404,0.663622436710909,0.8151548100997051,0.6644773644286863,0.8548837010292716,0.9287641681559046,0.8626028800503294,0.5920281574878146,0.776319259035708,0.6026715919497506,0.5282299920335635,0.7332300451230921,0.5376262990712116
