,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2
49,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,False,923,738,185,10.0,0.22665829336989782,0.2308056907083642,0.5065939094031857,0.25663738904440314,0.3161689653185519,0.6620281332441765,0.43828124920676914,0.04223581662919862,0.27894071191401637,0.07780792076309827,1e-08,-0.5219280498737645,-0.20960139719412352,0.37317331218041533,0.13925832092370172
50,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,True,648,518,130,100.0,0.15963799879185683,0.19641674098487283,0.44704086842821966,0.1998455380450568,0.06990341495209651,0.3206222275666884,0.10279861280982533,-0.07414327398849996,-0.010525557680361411,0.00011078736448261509,100000000.0,-0.45036146674074534,-0.08452228659385241,-0.5639693493000599,0.318061426949933
51,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,False,648,518,130,1.0,0.17743919462851296,0.22460829590885878,0.5160593687515105,0.2663172720762075,0.17303987834552148,0.5055130423146561,0.2555434359502193,-0.03598987788402619,0.17004617086758125,0.02891570022672664,1e-08,0.38820608330128525,0.7074049048862334,0.8470320852362558,0.7174633534196798
52,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,True,504,403,101,10.0,0.26490483511791624,0.27883715520682295,0.5307103355913688,0.2816534603035033,0.11946061970888955,0.4357431597247149,0.1898721012468784,-0.09531696325803218,0.16912400197583963,0.028602928044323805,100000000.0,-0.4315397866119478,-0.10763510424975786,-0.5458521491192476,0.29795456869810133
53,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,504,403,101,0.1,0.4041787160922958,0.42401245852920455,0.6589530326973911,0.43421909930108904,0.244682857074631,0.6036340262508949,0.3643740376478661,-0.05825974036786952,0.3461601258402327,0.11982683272172574,100000000.0,-0.43153976644507325,-0.10763509009781691,-0.5458520715126202,0.2979544839746186
54,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,True,648,518,130,100.0,0.17338138432935124,0.205482558040743,0.4564499978512114,0.20834660053837087,0.07490334713415503,0.3325220719934801,0.11057092836283716,-0.025510649009156783,0.08358620910680482,0.006986654352846501,100000000.0,-0.45036109293507565,-0.08452192363514621,-0.5639740965174294,0.3180667815426507
55,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,False,648,518,130,1.0,0.21174558119721437,0.2359799967780345,0.523986857043766,0.2745622263546041,0.18695802244397364,0.5238590589709418,0.27442831366592063,0.017109509638131293,0.26184469944394706,0.06856264662689097,1e-08,0.6723145884768248,0.7919906151083533,0.8903393823022606,0.792704215678371
56,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,True,490,392,98,100.0,0.3672065177301131,0.394006523473972,0.6367816997871538,0.4054909331838169,0.2249142551955291,0.5805990588014824,0.33709526708116727,0.17217633345628447,0.5529816756423364,0.3057887335962061,100000000.0,-0.4390449070204533,-0.1085486306990886,-0.5492476608676843,0.3016729929686227
57,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,False,490,392,98,100.0,0.3756114442687773,0.40220006688340015,0.6421620007095866,0.41237203515533916,0.22417439036074316,0.5797667475082026,0.3361294815162399,0.1768813198266468,0.5599791004100817,0.31357659289608436,100000000.0,-0.43904488684670157,-0.10854861661636073,-0.5492475838698596,0.3016729083868785
58,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,490,392,98,100.0,0.3571201700744252,0.3831863297745435,0.6287018211002162,0.3952659798547283,0.215145815497779,0.5689636106829074,0.32371959028133096,0.19870153402769364,0.5806492599658006,0.33715356309883193,100000000.0,-0.43905653428722063,-0.10863172209902228,-0.5493131273585429,0.30174491188842273
59,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,490,392,98,100.0,0.36602903461394853,0.3918760850872157,0.6344612111455339,0.40254102844825773,0.2142586330932129,0.5679150262801005,0.32252747707472723,0.20357855319676033,0.5873650284385268,0.3449976766325914,100000000.0,-0.43905651411442875,-0.10863170801717859,-0.5493130504104208,0.3017448273512015
