,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,val_R2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_R2,demean_r,demean_r2
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,14732,"[4, 5, 6, 7, 8, 9]",True,False,True,True,420,336,84,0.755188201268007,0.9078319139270856,0.9547510604602105,0.9115495874498966,0.73056785189447,0.8618337778256223,0.7427574606011841,0.5122938658952978,0.7167555167067834,0.5137384707296081
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,4659,"[4, 5, 6, 7, 8, 9]",True,True,False,False,420,336,84,0.6316812297511032,0.7890732324747511,0.8891866397481805,0.7906528803066605,0.5249140455841701,0.7315731500378049,0.5351992738562366,0.45679747721816555,0.6876867152396265,0.4729130183170672
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,4659,"[4, 5, 6, 7, 8, 9]",True,True,False,True,420,336,84,0.7648583336706924,0.9125010159062614,0.9564782593095802,0.9148506605318846,0.7335824677507866,0.8568259013600025,0.7341506252413806,0.5724566193953807,0.7572486925304127,0.5734255823390195
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,4659,"[4, 5, 6, 7, 8, 9]",True,True,True,False,420,336,84,0.5818826524831242,0.7498902204311374,0.868457429907928,0.7542183075622836,0.5403966692129276,0.7482376108346643,0.5598595222675666,0.3443167137012614,0.6355289471030227,0.40389704260587656
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,4659,"[4, 5, 6, 7, 8, 9]",True,True,True,True,420,336,84,0.755188201268007,0.9078319139270856,0.9547510604602105,0.9115495874498966,0.73056785189447,0.8618337778256223,0.7427574606011841,0.5122938658952978,0.7167555167067834,0.5137384707296081
0,ZMB,sentinel-2-l2a,2-3-4,1000,14732,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,False,False,420,336,84,0.6096259395196162,0.8374517316774845,0.9164582809067667,0.8398957806425862,0.45629884893512274,0.7068587001878313,0.4996492220312303,0.5118886979910025,0.7594900535335368,0.5768251414163746
0,ZMB,sentinel-2-l2a,2-3-4,1000,14732,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,False,True,420,336,84,0.6989124010791377,0.964102912160241,0.9824633166352759,0.9652341685339864,0.6500298180635218,0.8189498318424743,0.6706788270748169,0.6918034835173078,0.8408695900298905,0.7070616674370361
0,ZMB,sentinel-2-l2a,2-3-4,1000,14732,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,True,False,420,336,84,0.46674472573921033,0.7064717749788569,0.8438800761533605,0.7121335829286015,0.5519771966775869,0.7446797826518381,0.5545479786903889,0.3891832158360866,0.6696308908751479,0.44840553001424427
0,ZMB,sentinel-2-l2a,2-3-4,1000,14732,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,True,True,420,336,84,0.584098622318756,0.9585879169388805,0.9800479951984304,0.9604940728924627,0.6663419780729316,0.8375684321473901,0.7015208785298371,0.6238480297845518,0.7974160812119129,0.635872406575364
0,ZMB,sentinel-2-l2a,2-3-4,1000,8150,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,False,False,420,336,84,0.6304334209506678,0.8405497788094067,0.9182288194930477,0.8431441649475959,0.48349816392771583,0.7280339184947127,0.530033386478766,0.49616962844676493,0.7536129304268976,0.567932448906616
0,ZMB,sentinel-2-l2a,2-3-4,1000,8150,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,False,True,420,336,84,0.6957079233817927,0.9620877413117853,0.9814222861591391,0.963189703769831,0.652255524035907,0.8213566276423301,0.6746267097719812,0.6798613809324164,0.8344330445975445,0.6962785059163278
0,ZMB,sentinel-2-l2a,2-3-4,1000,8150,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,True,False,420,336,84,0.46674472573921033,0.7064717749788569,0.8438800761533605,0.7121335829286015,0.5519771966775869,0.7446797826518381,0.5545479786903889,0.3891832158360866,0.6696308908751479,0.44840553001424427
0,ZMB,sentinel-2-l2a,2-3-4,1000,8150,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,True,True,420,336,84,0.584098622318756,0.9585879169388805,0.9800479951984304,0.9604940728924627,0.6663419780729316,0.8375684321473901,0.7015208785298371,0.6238480297845518,0.7974160812119129,0.635872406575364
0,ZMB,sentinel-2-l2a,2-3-4,1000,14732,"[4, 5, 6, 7, 8, 9]",True,False,False,False,420,336,84,0.5295674370825125,0.7871490246602006,0.8889314776427537,0.7901991719441296,0.3502686179902246,0.6472002509988406,0.41886816489296225,0.46431537317433547,0.7223681476579384,0.5218157407507612
0,ZMB,sentinel-2-l2a,2-3-4,1000,14732,"[4, 5, 6, 7, 8, 9]",True,False,False,True,420,336,84,0.7880475994570261,0.970286253210866,0.9851954596515764,0.9706100937180809,0.721989508356516,0.8609778664681069,0.7412828865479734,0.7211794791551644,0.8504247462713175,0.7232222490706347
0,ZMB,sentinel-2-l2a,2-3-4,1000,14732,"[4, 5, 6, 7, 8, 9]",True,False,True,False,420,336,84,0.42426681890594986,0.7562754797366658,0.8731743772747076,0.7624334931290734,0.379098044331187,0.6513969440958061,0.42431797877735467,0.31348693248666815,0.6326674639539523,0.4002681199459256
0,ZMB,sentinel-2-l2a,2-3-4,1000,14732,"[4, 5, 6, 7, 8, 9]",True,False,True,True,420,336,84,0.7135519441646322,0.925369902246628,0.9648443504076325,0.9309246205135263,0.7099678294246453,0.853246903598187,0.7280302784998938,0.5614113492439736,0.7499794593588388,0.5624691894601761
0,ZMB,sentinel-2-l2a,2-3-4,1000,8150,"[4, 5, 6, 7, 8, 9]",True,True,False,False,420,336,84,0.527648689007828,0.77535291751091,0.8819575688653338,0.7778491532788501,0.36152912077660937,0.6720963502985846,0.45171350408467775,0.4182793637569525,0.7048151424783321,0.4967643850667516
0,ZMB,sentinel-2-l2a,2-3-4,1000,8150,"[4, 5, 6, 7, 8, 9]",True,True,False,True,420,336,84,0.7884156956506203,0.9689966970694129,0.9845478501370108,0.96933446920941,0.7306250949482154,0.8677919964893929,0.7530629491710464,0.7216520543471043,0.8504359740820406,0.7232413460128693
0,ZMB,sentinel-2-l2a,2-3-4,1000,8150,"[4, 5, 6, 7, 8, 9]",True,True,True,False,420,336,84,0.42426681890594986,0.7562754797366658,0.8731743772747076,0.7624334931290734,0.379098044331187,0.6513969440958061,0.42431797877735467,0.31348693248666815,0.6326674639539523,0.4002681199459256
0,ZMB,sentinel-2-l2a,2-3-4,1000,8150,"[4, 5, 6, 7, 8, 9]",True,True,True,True,420,336,84,0.7135519441646322,0.925369902246628,0.9648443504076325,0.9309246205135263,0.7099678294246453,0.853246903598187,0.7280302784998938,0.5614113492439736,0.7499794593588388,0.5624691894601761
