,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,reg_param,val_R2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_R2,demean_r,demean_r2
2021,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,False,426,340,86,1000.0,0.649113343758013,0.9640702160313904,0.983559711182801,0.967389705461995,0.6410029097512941,0.8087334174836827,0.6540497405548366,0.7359792757668354,0.8598363736718586,0.7393185894891721
2022,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,False,497,397,100,10000.0,0.6183468509832342,0.8320333370561139,0.9206723718165934,0.8476376162263917,0.6995212284189978,0.8540332019040161,0.7293727099544259,0.5436924790397515,0.7375871933563214,0.5440348678032554
2023,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,497,397,100,1000.0,0.6525299025046872,0.9284217661952301,0.9661741043826384,0.9334923999795934,0.7092267118471193,0.8466106770652625,0.7167496385209022,0.5959268125854986,0.7764379529466707,0.6028558947760164
2024,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,426,340,86,1000.0,0.6169899768798373,0.964262910676703,0.9838515374434054,0.9679638477297525,0.6363545840253331,0.8032991005976131,0.6452894450209341,0.7181351920483159,0.8513942051647337,0.7248720925880887
2025,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,497,397,100,1000.0,0.622749829249855,0.9359081489670746,0.9697276149478169,0.9403716471923814,0.5758395619560561,0.7708975095936614,0.5942829702977093,0.5020980069918431,0.7356407642196926,0.5411673339817333
2026,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,False,490,392,98,10000.0,0.6044651844260484,0.8397676792786248,0.9246691564267994,0.8550130488470488,0.6851944189011143,0.8370282040264126,0.7006162143356819,0.5819273032478158,0.7646992080892471,0.5847648788523216
2027,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,1000.0,0.6321745610786917,0.9677149814063151,0.9855428366194939,0.9712946828119985,0.6638753386104883,0.8188909395798842,0.6705823709260256,0.7333824872668613,0.8590397964654646,0.7379493719114268
2028,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,420,336,84,1000.0,0.6673850173655866,0.983059069675116,0.992372041520904,0.9848022687923668,0.6183450471261022,0.8131306958720806,0.6611815285694141,0.8084727303907123,0.8994192700288882,0.8089550232992981
2029,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,420,336,84,10000.0,0.6558993986251125,0.8810590289191073,0.9434317984552674,0.8900635583365403,0.5743118417325523,0.7752307901411305,0.6009827779828415,0.6174254765546345,0.7859356775696102,0.6176948892768024
2030,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,497,397,100,1000.0,0.6150422950752379,0.9381996262535923,0.9707708363947033,0.9423960167944718,0.6850320498146181,0.8277964841972992,0.6852470192494095,0.6213796941484078,0.7927372401495902,0.6284323319199892
2031,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,276,220,56,10000.0,0.7132429956765419,0.8944160013757889,0.9509890213674165,0.9043801187613565,0.5807584147231273,0.7919554602620379,0.6271934510388563,0.5953503213092,0.7717044979138351,0.5955278321004444
2032,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,False,282,225,57,10000.0,0.65792077614936,0.881374192409251,0.9453612033743546,0.8937078048454078,0.7131549534091303,0.8458767441879984,0.7155074663580885,0.6215763200567738,0.7962432706967801,0.6340033461299059
2033,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,True,497,397,100,1000.0,0.6525299025046871,0.9284217661952301,0.9661741043826386,0.9334923999795939,0.7092267118471222,0.8466106770652639,0.7167496385209047,0.5959268125854995,0.776437952946671,0.6028558947760169
2034,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,1000.0,0.6439585238094369,0.9667558881218975,0.9847127036964399,0.9696591088211527,0.6647576751741182,0.8228452800758994,0.6770743549431854,0.728732860994245,0.8583438265432833,0.736754124564966
2035,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,497,397,100,1000.0,0.635121557628388,0.9194231044967047,0.961455067528603,0.9243958468764305,0.6722552745924397,0.8268920504766117,0.6837504631414154,0.5628024501267755,0.759556924252893,0.576926721180515
2036,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,497,397,100,1000.0,0.6351215576283857,0.9194231044967047,0.9614550675286033,0.9243958468764312,0.6722552745924453,0.8268920504766142,0.6837504631414194,0.5628024501267785,0.7595569242528933,0.5769267211805156
2037,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,276,220,56,10000.0,0.7148721355269287,0.8956478678401307,0.9516506131802132,0.9056388895662757,0.5836929222213736,0.793990920461261,0.6304215817749205,0.5967101287729095,0.7725637236849717,0.5968547071539894
2038,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,282,225,57,10000.0,0.6095418620820994,0.878555523088016,0.9443838866064999,0.8918609252819983,0.7314272668766071,0.8666750199846998,0.7511255902654798,0.6595102937608877,0.8220587366971166,0.6757805665800592
2039,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,1000.0,0.6392878813219,0.9657075573241256,0.984185926615161,0.9686219381473431,0.6615438843655363,0.8214211146069897,0.6747326475221894,0.7245622713746718,0.8557948894060904,0.7323848927335824
2040,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,True,497,397,100,1000.0,0.6304285682073543,0.963520496388888,0.9832041096093953,0.9666903211528038,0.7725856246510192,0.8840804796005657,0.7815982944107662,0.7282700235296159,0.8540617362427724,0.7294214493140189
2041,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,True,282,225,57,1000.0,0.6608235141689163,0.9849737074897814,0.9933718868086566,0.9867877055017905,0.7532286848730068,0.8698761284218437,0.7566844787981759,0.8026180607447714,0.8961145056801981,0.8030212072904659
2042,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,426,340,86,10000.0,0.6345159785341219,0.8409365569169558,0.9236785372862368,0.853182040243242,0.591268505565866,0.7763997452346295,0.6027965644003976,0.5534358482459389,0.7469423344863122,0.5579228510478619
2043,ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,False,420,336,84,10000.0,0.6525221452463388,0.8809076327688802,0.9432771288923799,0.8897717418914515,0.5794101663510804,0.7771971294670368,0.604035378051802,0.6157398120180351,0.7847847782381453,0.6158871481542949
