country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,432,345,87,1000.0,0.47439338954107485,0.5163018276117766,0.7189149954681832,0.5168387707090178,0.8733406557447071,0.9434712912810954,0.8901380774716176,0.42591442376414623,0.658546586619866,0.4336836067486767
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,497,397,100,1000.0,0.43637739117064867,0.44281326455953973,0.6745792587251654,0.4550571763021937,0.8869253027163132,0.9476223614989066,0.8979881400127643,0.6775651103427638,0.8254682434386422,0.6813978209256775
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,288,230,58,100.0,0.49129148966061786,0.5302488725659245,0.7434103675840255,0.5526589746314159,0.9963767902473532,0.9986011214453719,0.9972041997519545,0.7006798518387887,0.840421895714596,0.7063089627965153
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,420,336,84,1000.0,0.48383138004615106,0.4988576912720547,0.7109493633252643,0.5054489972125986,0.8897970207745581,0.9488065624111441,0.9002338928744523,0.5157021248177927,0.7293736397528167,0.5319859063662715
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,497,397,100,1000.0,0.4369933244459082,0.4405846878407469,0.6664923770062036,0.4442120886073794,0.8834890239233716,0.9464951943186798,0.8958531528683554,0.5660269415499148,0.7535340661222306,0.5678135888067022
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,426,340,86,1000.0,0.498047407932936,0.5209011277877541,0.7234060767516349,0.5233163518811923,0.9226306935870192,0.9668373942541771,0.9347745469282072,0.6582211025878832,0.812547537555118,0.6602335007868859
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,490,392,98,1000.0,0.4390719054682804,0.44505625451755815,0.6783866653328371,0.4602084677014067,0.9033818933926333,0.9558005870653298,0.913554762234429,0.5285768898070797,0.7301960691943707,0.5331862994669103
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,432,345,87,100.0,0.48494309712707173,0.5201064644466704,0.73880236606895,0.5458289361090788,0.985423078259134,0.9937676487188984,0.987574139640288,0.45247643349756905,0.687534644031182,0.47270388674308417
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,504,403,101,1000.0,0.302581019041882,0.3185843889211547,0.5743813227456391,0.3299139039190301,0.7345332105909905,0.8706997537445103,0.7581180611707508,0.13510504741518192,0.45552314693179746,0.20750133739064794
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,414,331,83,1000.0,0.5188451416938349,0.5699995449063457,0.7599775666547685,0.577565901818503,0.9359279297812754,0.9703333832373171,0.9415468746247782,0.4097017471145835,0.6435652430604708,0.4141762220754829
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,490,392,98,1000.0,0.39640435988587397,0.4037123471030586,0.6482686139645633,0.42025219585153595,0.8884352296420719,0.9497361573852179,0.9019987686448393,0.6411699412623171,0.8071188518430399,0.651440841000427
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,288,230,58,10.0,0.43261874233391084,0.4406187719528425,0.7225759441712054,0.5221159950949089,0.9999185761296561,0.9999698802137904,0.9999397613347824,0.7394231976708906,0.8685726396014459,0.7544184302642233
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,497,397,100,1000.0,0.45719687554965105,0.4565720171170665,0.6774759502002545,0.45897366309973775,0.8831030380289155,0.9463066767669294,0.8954963264936697,0.5876458907271362,0.7675195726272928,0.5890862943659821
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,432,345,87,100.0,0.5998334976786565,0.6320911142106826,0.8030116965661471,0.644827784822042,0.9784008675023497,0.9902578461782837,0.9806106019176534,0.2560501497574813,0.5927222355893245,0.35131964856200665
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,497,397,100,1000.0,0.4112577560597794,0.4163013801300418,0.6528771255053873,0.4262485410081773,0.8417408285099436,0.9246680650588031,0.8550110305395908,0.6259698371193554,0.7925684172826984,0.6281646960740016
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,282,225,57,1000.0,0.508545055597833,0.5373496004605378,0.7343403711510194,0.5392557807022169,0.9138972241300322,0.9612157512257432,0.9239357204044698,0.5554518236011994,0.7492919758073795,0.5614384650093266
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,490,392,98,1000.0,0.4207155074322598,0.4237027163916597,0.657181083641232,0.4318869766958639,0.8629603015439183,0.9368326928501385,0.877655494392842,0.49946034455127997,0.7097963620810458,0.503810875623487
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,288,230,58,100.0,0.5552757042349687,0.6009177234487595,0.7826675136502044,0.6125684369233928,0.9956836103032127,0.9982323283927563,0.9964677814484237,0.6232213649589506,0.8017807210970559,0.642852324722915
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,426,340,86,100.0,0.6054717080151448,0.6121889521286535,0.7941107559995032,0.6306118927941026,0.9943840620378399,0.997569547719635,0.9951450025375572,0.44443310423173465,0.7047099419745206,0.49661610231773223
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,432,345,87,1000.0,0.49718253897443193,0.5312509138168768,0.7292939734603271,0.5318696997255523,0.8389306706775501,0.9241469135342589,0.8540475177948971,0.29618326949209206,0.5809711983696128,0.33752753333502394
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,426,340,86,100.0,0.5545529237475122,0.5622591140545381,0.7604018278516258,0.5782109398000935,0.9940869101142558,0.9974145859778685,0.9948358563214028,0.6122796348222259,0.7911608336967809,0.6259354647757854
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,276,220,56,1000.0,0.5180096441580464,0.579955230193307,0.7622475175399218,0.5810212779957734,0.9498640216357399,0.9780732432150427,0.9566272690931922,0.6059223952242503,0.8111788428614303,0.658011115106009
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,420,336,84,1000.0,0.5549789564786558,0.567402652568293,0.7554059863096918,0.5706382041525183,0.8858365292439689,0.9453653322790566,0.8937156114750912,0.4859499806985015,0.7124390819358966,0.5075694454696631
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,426,340,86,1000.0,0.5405952072286071,0.5595616030484725,0.7486055730469663,0.5604103039969768,0.9288720049245279,0.9689628023276515,0.9388889122946555,0.4993704776767338,0.715499388466631,0.5119393748961228
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,490,392,98,10000.0,0.42667194109003576,0.4474290108904512,0.6694179951986652,0.4481204522958001,0.6889508330047031,0.8422180672137695,0.7093312727412975,0.46529743646072963,0.6869983777026744,0.4719667709661064
