,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2
445,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,False,282,225,57,"[[1.0, 1.0]]","[[0.6865539350970803, 0.6865539350970803]]",0.6946542936069737,0.8398869926976921,0.705410160502773,0.9957151165674664,0.9980673977231992,0.9961385303979589,0.5004352394179521,0.7439529961655028,0.5534660605036287,-0.0558677235626328,0.4559576931067504,0.2078974179032295
446,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,False,282,225,57,"[[10.0, 10.0]]","[[0.6679973321545738, 0.6979950929813837]]",0.7051700815539383,0.8400622430298511,0.7057045721643447,0.942798449449906,0.9736549828010596,0.9480040255333316,0.598518371713868,0.7772330488523717,0.6040912122283532,0.1465589372704683,0.5199751372365738,0.2703741433441938
447,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,282,225,57,"[[1.0, 1.0]]","[[0.6926430928189055, 0.6926430928189055]]",0.6987841034091895,0.8427257488929478,0.7101866878471798,0.9956911391844728,0.998041591459407,0.9960870182828258,0.5260867648006067,0.759091735100093,0.5762202622972697,-0.0797831950308605,0.4549267167692752,0.2069583176304723
448,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,282,225,57,"[[10.0, 10.0]]","[[0.6695991536759235, 0.6987743652815591]]",0.7058235835556937,0.8404379947739783,0.7063360230597056,0.942526329652516,0.9735176626006828,0.9477366393954968,0.5958724801517958,0.7758930176254211,0.6020099747998819,0.1487326509233989,0.5215714308366369,0.2720367574649767
449,ZMB,2009-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,False,923,738,185,"[[100000000.0, 10.0]]","[[0.522971396341371, 0.5321373993374273]]",0.5305395349015656,0.7285789140139302,0.5308272339457178,0.696581723943888,0.8424975561914329,0.7098021321885366,0.4509112383837089,0.6740862425244759,0.4543922623607666,0.0485363285152736,0.3213899371082973,0.1032914916744753
450,ZMB,2009-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,False,923,738,185,"[[10.0, 10.0]]","[[0.5294518728307052, 0.5451354984545805]]",0.5439225918541168,0.7375497431018488,0.5439796235496033,0.7358661512338425,0.8654373628220674,0.7489818289684147,0.482286926025479,0.6976720894380565,0.4867463443808634,0.0550110597586988,0.3475830978680454,0.1208140099235472
451,ZMB,2009-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,False,923,738,185,"[[10.0, 10.0]]","[[0.5262981601441604, 0.5447348744338087]]",0.5435589131286208,0.7372906472923763,0.5435974985848112,0.7359997340618668,0.8655124923610734,0.7491118744330771,0.4829535344799652,0.6979787350467682,0.4871743145774866,0.0547886927409611,0.3465318146901882,0.1200842985924749
452,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,False,420,336,84,"[[100.0, 10.0]]","[[0.661373686897292, 0.7041137971631855]]",0.7236907753854094,0.8514970178687369,0.725047171439352,0.902341185396855,0.9543306940555164,0.910747073616484,0.5104536260869346,0.7315270407122144,0.5351318112931698,0.280568821401107,0.5751405213423089,0.3307866192899028
453,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,False,420,336,84,"[[1.0, 1.0]]","[[0.6200646674254818, 0.6200646674254818]]",0.6444417253790606,0.8086433676522216,0.653904096047926,0.9947002660684487,0.9976237654845376,0.995253177459548,0.5349266384999676,0.7636921416505751,0.583225687218842,-0.0743086837051218,0.5027028485476219,0.2527101539378933
454,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,False,414,331,83,"[[100.0, 10.0]]","[[0.7113730616906289, 0.7340055016377106]]",0.7535113332793759,0.870917223922355,0.7584968109246215,0.9106196100783388,0.9585550292749616,0.9188277441483222,0.5903374711531484,0.7724659134771503,0.5967035874840882,0.3832358313502791,0.6427627323325847,0.41314393007565
455,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,False,414,331,83,"[[10.0, 10.0]]","[[0.6572206308105634, 0.6825612620804049]]",0.7016239648969124,0.8385921149804992,0.7032367353074669,0.938265576598492,0.9713235617152988,0.943469461543294,0.5865034756316367,0.7841747528161082,0.6149300429542043,0.2214687172837685,0.5819626782780882,0.3386805589086056
456,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,False,426,340,86,"[[10.0, 10.0]]","[[0.6409967936803266, 0.6457395239873577]]",0.6947300760402069,0.833719700225805,0.6950885385446062,0.9127009919606772,0.9583022306514964,0.9183431652716336,0.5558992768932052,0.7719166850110316,0.5958553685984201,0.1434005496672061,0.4853048803187228,0.2355208268611698
457,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,False,426,340,86,"[[10.0, 10.0]]","[[0.5661100327749283, 0.6084050319145596]]",0.6562406030040759,0.8105703260702909,0.6570242535056977,0.9087423184085016,0.9568902171588268,0.9156388876942668,0.6153448053794579,0.7958554021154701,0.6333858210763766,0.0855582745077961,0.4684765407626751,0.2194702692449623
458,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,426,340,86,"[[100.0, 1.0]]","[[0.6512118297742392, 0.6512118297742392]]",0.7004121165172138,0.8379471109999312,0.7021553608331311,0.9412917712318922,0.9720351557183324,0.9448523439523626,0.6556540615866226,0.8253958087451165,0.681278241094005,0.0914321392802407,0.4834288030281922,0.2337034075972707
459,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,426,340,86,"[[10.0, 10.0]]","[[0.5910044065646884, 0.6072451918923022]]",0.6546130868917843,0.8095763730411419,0.6554139037864503,0.9100656642699794,0.9575749944596894,0.9169498700144744,0.6151483405427736,0.7944928749072112,0.6312189282783256,0.081129200903531,0.4646270611296683,0.2158783059339925
460,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,False,420,336,84,"[[1.0, 1.0]]","[[0.620822374055321, 0.620822374055321]]",0.6441796892819771,0.8082040756871123,0.6531938279572596,0.9911418901344642,0.9959707451981002,0.9919577252904592,0.4667107541882902,0.7534562659928494,0.5676963447638874,-0.1651831941192665,0.4818773674913962,0.2322057973004381
461,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,False,420,336,84,"[[10.0, 100.0]]","[[0.5733195836555912, 0.6408862446331083]]",0.6539497666947119,0.8087085296792459,0.6540094859759678,0.8816123470518009,0.943001186060759,0.8892512369119983,0.5538020371829812,0.7555277316987377,0.5708221533658397,0.1472650497301644,0.5379702197970259,0.2894119573884603
462,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,False,414,331,83,"[[1.0, 10.0]]","[[0.5601119107220355, 0.5960852801067864]]",0.6207202190079488,0.7921023272338978,0.627426096809357,0.9802542992116264,0.9909608802299028,0.982003466146024,0.6235587510835883,0.8200218503816844,0.6724358351034015,-0.1697509394498,0.4674932373122242,0.2185499269326636
463,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,False,414,331,83,"[[1.0, 10.0]]","[[0.5396718215786385, 0.5918334412943824]]",0.6184967806006942,0.7908587890300753,0.6254576241861172,0.9804020521463904,0.9910409509527152,0.9821621664652622,0.6034339138313364,0.8113643184113377,0.6583120571910946,-0.1617666051527189,0.4743254808039027,0.2249846617398535
