,country,satellite,bands,num_features,points,month_range,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,val_R2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_R2,demean_r,demean_r2
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,8306,"range(4, 10)",True,True,False,432,345,87,0.494283528133046,0.7710318793979472,0.8807635194758915,0.7757443772395591,0.5255075980416052,0.7355839610013051,0.5410837636823695,0.3863713615363302,0.6442934799069,0.41511408825054297
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,8306,"range(4, 10)",True,True,True,432,345,87,0.7031219830651072,0.9518991818227357,0.9758841760890236,0.9523499251409523,0.6490077173226243,0.8332876930463601,0.6943683793825248,0.6090298561132278,0.7804300880843782,0.6090711223873903
0,ZMB,sentinel-2-l2a,2-3-4,1000,14732,"range(1, 13)",False,False,False,420,336,84,0.6096259395195618,0.8374517316774566,0.9164582809067623,0.839895780642578,0.45629884893490824,0.7068587001876795,0.49964922203101575,0.5118886979910259,0.7594900535334497,0.5768251414162422
0,ZMB,sentinel-2-l2a,2-3-4,1000,14732,"range(1, 13)",False,False,True,420,336,84,0.6989124010796239,0.9641029121602832,0.9824633166352882,0.9652341685340106,0.6500298180627804,0.8189498318421483,0.670678827074283,0.6918034835166658,0.8408695900296688,0.7070616674366632
0,ZMB,sentinel-2-l2a,2-3-4,1000,14732,"range(1, 13)",False,True,False,420,336,84,0.4667447257392057,0.7064717749788536,0.8438800761533622,0.7121335829286045,0.5519771966775883,0.7446797826518391,0.5545479786903903,0.3891832158360763,0.6696308908751099,0.44840553001419325
0,ZMB,sentinel-2-l2a,2-3-4,1000,14732,"range(1, 13)",False,True,True,420,336,84,0.5840986223183963,0.9585879169388231,0.9800479951983796,0.9604940728923631,0.6663419780733406,0.8375684321475539,0.7015208785301117,0.6238480297844644,0.7974160812120119,0.635872406575522
0,ZMB,sentinel-2-l2a,2-3-4,1000,8150,"range(1, 13)",True,False,False,420,336,84,0.6304334209507635,0.8405497788093973,0.9182288194930412,0.8431441649475842,0.4834981639278235,0.7280339184947804,0.5300333864788646,0.49616962844667845,0.7536129304268115,0.5679324489064863
0,ZMB,sentinel-2-l2a,2-3-4,1000,8150,"range(1, 13)",True,False,True,420,336,84,0.6957079233812843,0.9620877413117033,0.9814222861591265,0.9631897037698064,0.6522555240357628,0.8213566276421641,0.6746267097717086,0.679861380932635,0.8344330445974539,0.6962785059161766
0,ZMB,sentinel-2-l2a,2-3-4,1000,8150,"range(1, 13)",True,True,False,420,336,84,0.4667447257392057,0.7064717749788536,0.8438800761533622,0.7121335829286045,0.5519771966775883,0.7446797826518391,0.5545479786903903,0.3891832158360763,0.6696308908751099,0.44840553001419325
0,ZMB,sentinel-2-l2a,2-3-4,1000,8150,"range(1, 13)",True,True,True,420,336,84,0.5840986223183963,0.9585879169388231,0.9800479951983796,0.9604940728923631,0.6663419780733406,0.8375684321475539,0.7015208785301117,0.6238480297844644,0.7974160812120119,0.635872406575522
0,ZMB,sentinel-2-l2a,2-3-4,1000,14955,"range(4, 10)",False,False,False,432,345,87,0.47041508745529254,0.7687227035294997,0.8783699192117174,0.7715337149759989,0.4478864604502383,0.7149619919474461,0.51117064992946,0.425678783000357,0.69417161690106,0.481874233711032
0,ZMB,sentinel-2-l2a,2-3-4,1000,14955,"range(4, 10)",False,False,True,432,345,87,0.7465086417158437,0.9667954558943178,0.9834640449902996,0.9672015277886821,0.7429672563926945,0.876108004227208,0.7675652350709815,0.710031969868631,0.8437237778309875,0.7118698132773935
0,ZMB,sentinel-2-l2a,2-3-4,1000,14955,"range(4, 10)",False,True,False,432,345,87,0.48615595100617864,0.7676721825559898,0.8788843346524371,0.7724376736974571,0.3777624070139949,0.6273195117545423,0.3935297698279573,0.3612771533175627,0.6605374250214591,0.43630968985397967
0,ZMB,sentinel-2-l2a,2-3-4,1000,14955,"range(4, 10)",False,True,True,432,345,87,0.7298498617403374,0.927645064169248,0.9653992599206958,0.9319957310554271,0.6949654383395927,0.8380650031630836,0.7023529495267394,0.577444568465578,0.7610549459773761,0.5792046307966269
0,ZMB,sentinel-2-l2a,2-3-4,1000,4697,"range(4, 10)",True,False,False,432,345,87,0.4973894461829314,0.7685863979662295,0.8779846571515636,0.7708570581935487,0.4470602531756739,0.7092245270750226,0.5029994298047894,0.3824619219506328,0.6818145749829969,0.46487111465924474
0,ZMB,sentinel-2-l2a,2-3-4,1000,4697,"range(4, 10)",True,False,True,432,345,87,0.7622791868844364,0.9676493748630391,0.9839008273185403,0.9680608379981082,0.7506289537486277,0.8752363535314054,0.7660386745429513,0.7201316859900946,0.8493082515475578,0.7213245061467698
0,ZMB,sentinel-2-l2a,2-3-4,1000,4697,"range(4, 10)",True,True,False,432,345,87,0.48615595100617864,0.7676721825559898,0.8788843346524371,0.7724376736974571,0.3777624070139949,0.6273195117545423,0.3935297698279573,0.3612771533175627,0.6605374250214591,0.43630968985397967
0,ZMB,sentinel-2-l2a,2-3-4,1000,4697,"range(4, 10)",True,True,True,432,345,87,0.7298498617403374,0.927645064169248,0.9653992599206958,0.9319957310554271,0.6949654383395927,0.8380650031630836,0.7023529495267394,0.577444568465578,0.7610549459773761,0.5792046307966269
0,ZMB,sentinel-2-l2a,2-3-4,1000,18904,"range(1, 13)",False,False,False,402,321,81,0.6171022922769289,0.7717043831333432,0.8792121322922881,0.7730139735699519,0.4922505028456211,0.7138302953100247,0.5095536905023971,0.3308886722172171,0.6502756343376083,0.4228584006131788
0,ZMB,sentinel-2-l2a,2-3-4,1000,18904,"range(1, 13)",False,False,True,402,321,81,0.7014753201481303,0.9271946413467491,0.9637594867530616,0.9288323483065246,0.665069598301039,0.8204586663648619,0.6731524232132077,0.5905494545418957,0.7739557415684581,0.599007489906782
0,ZMB,sentinel-2-l2a,2-3-4,1000,18904,"range(1, 13)",False,True,False,402,321,81,0.6171962869539971,0.7679820766424185,0.877154153300999,0.7693994086531925,0.6192332494127407,0.7951802923051037,0.6323116972704301,0.35189063956057887,0.6551718692985544,0.4292501783201621
0,ZMB,sentinel-2-l2a,2-3-4,1000,18904,"range(1, 13)",False,True,True,402,321,81,0.7276581747331908,0.9268606131296948,0.9636546202622732,0.928630227152826,0.7341740198829574,0.862474268432308,0.7438618637078449,0.5786030088511891,0.7649725729652828,0.5851830373891248
0,ZMB,sentinel-2-l2a,2-3-4,1000,18904,"range(1, 13)",True,False,False,402,321,81,0.6171022922769289,0.7717043831333432,0.8792121322922881,0.7730139735699519,0.4922505028456211,0.7138302953100247,0.5095536905023971,0.3308886722172171,0.6502756343376083,0.4228584006131788
