,district,year,yield_mt,log_yield,district_yield_mean,demean_yield,k-fold_prediction,k-fold_district_prediction_mean,k-fold_demean_prediction,logo_prediction,logo_district_prediction_mean,logo_demean_prediction
279,Monze,2019,0.171938503,0.068904822852309,0.36953971156454185,-0.3006348887122329,0.09076763322678,0.37377107641875407,-0.28300344319197407,0.29510751831967935,0.43040223216998735,-0.135294713850308
280,Monze,2020,1.865765568,0.4572406603501533,0.36953971156454185,0.08770094878561147,0.4516137226627276,0.37377107641875407,0.07784264624397352,0.5605405548949779,0.43040223216998735,0.13013832272499054
281,Monze,2021,2.116859756,0.4937172615114989,0.36953971156454185,0.12417754994695707,0.4740541177087647,0.37377107641875407,0.10028304129001064,0.341522812556389,0.43040223216998735,-0.08887941961359835
282,Mpika,2016,3.4073069,0.6441732933816642,0.63246439657152,0.011708896810144198,0.6409491595998671,0.5999941823141487,0.0409549772857184,0.5158186234429954,0.5828965174486412,-0.06707789400564579
283,Mpika,2017,3.596173,0.662396367172764,0.63246439657152,0.029931970601243973,0.6160626306857737,0.5999941823141487,0.01606844837162502,0.5502559630784543,0.5828965174486412,-0.03264055437018698
284,Mpika,2018,3.1503203,0.6180816145807039,0.63246439657152,-0.014382781990816107,0.5326228649612483,0.5999941823141487,-0.06737131735290036,0.6044924436622143,0.5828965174486412,0.02159592621357309
285,Mpika,2019,3.173700736,0.6205213059265484,0.63246439657152,-0.011943090644971566,0.5920809908583746,0.5999941823141487,-0.007913191455774071,0.6094388337837753,0.5828965174486412,0.026542316335134042
286,Mpika,2020,3.039081408,0.6062826064972694,0.63246439657152,-0.026181790074250588,0.5804872690963422,0.5999941823141487,-0.01950691321780651,0.641149931177039,0.5828965174486412,0.05825341372839776
287,Mpika,2021,3.398769366,0.64333119187017,0.63246439657152,0.010866795298649978,0.6377621786832864,0.5999941823141487,0.037767996369137746,0.5762233095473691,0.5828965174486412,-0.006673207901272127
288,Mpongwe,2016,3.1354961,0.6165276155980943,0.5846736040143333,0.031854011583761,0.6104179090101381,0.5873395276066845,0.02307838140345364,0.5183550088219864,0.5772834849530223,-0.05892847613103591
289,Mpongwe,2017,3.6366611,0.6662053538689187,0.5846736040143333,0.08153174985458533,0.6604178946772116,0.5873395276066845,0.07307836707052706,0.614228902696443,0.5772834849530223,0.03694541774342075
290,Mpongwe,2018,2.5246844,0.5471202363700767,0.5846736040143333,-0.03755336764425665,0.5762677228631126,0.5873395276066845,-0.011071804743571945,0.6762810686791838,0.5772834849530223,0.09899758372616152
291,Mpongwe,2019,2.689074217,0.5669173924752009,0.5846736040143333,-0.017756211539132427,0.5569700413385228,0.5873395276066845,-0.030369486268161716,0.5535173771712633,0.5772834849530223,-0.023766107781759027
292,Mpongwe,2020,2.721200351,0.5706830532495207,0.5846736040143333,-0.013990550764812593,0.5724917830465713,0.5873395276066845,-0.014847744560113174,0.6735426705981938,0.5772834849530223,0.09625918564517155
293,Mpongwe,2021,2.472066004,0.5405879725241891,0.5846736040143333,-0.04408563149014422,0.5474718147045504,0.5873395276066845,-0.03986771290213409,0.4277758817510637,0.5772834849530223,-0.1495076032019586
294,Mpulungu,2016,2.8369057,0.5839811256322741,0.5471502329837247,0.03683089264854944,0.6013652224536259,0.5259514363140835,0.07541378613954242,0.7410268043557875,0.5632803650333033,0.17774643932248424
295,Mpulungu,2017,2.719739,0.5705124681516868,0.5471502329837247,0.023362235167962098,0.5431622885886982,0.5259514363140835,0.01721085227461472,0.5352587435162404,0.5632803650333033,-0.02802162151706289
296,Mpulungu,2018,2.3531175,0.5254487722500318,0.5471502329837247,-0.021701460733692834,0.4815257865137383,0.5259514363140835,-0.04442564980034519,0.4547279361801898,0.5632803650333033,-0.10855242885311345
297,Mpulungu,2019,1.586150906,0.41265386305440477,0.5471502329837247,-0.1344963699293199,0.4705163903755577,0.5259514363140835,-0.05543504593852577,0.5326972259857597,0.5632803650333033,-0.030583139047543506
298,Mpulungu,2020,2.208692695,0.5063281255540557,0.5471502329837247,-0.04082210742966896,0.5054959961658366,0.5259514363140835,-0.02045544014824685,0.6897697771953784,0.5632803650333033,0.1264894121620751
299,Mpulungu,2021,3.830332683,0.6839770432598948,0.5471502329837247,0.13682681027617016,0.5536429337870443,0.5259514363140835,0.027691497472960847,0.4262017029664639,0.5632803650333033,-0.13707866206683933
300,Mufulira,2016,3.4425128,0.6476286877910948,0.6106598941262992,0.03696879366479566,0.6450831152175583,0.5989028979281977,0.046180217289360614,0.6131167766139156,0.5985782023121853,0.014538574301730334
301,Mufulira,2017,2.8244431,0.5825682038803933,0.6106598941262992,-0.028091690245905854,0.5875767415474122,0.5989028979281977,-0.01132615638078549,0.7848006970533059,0.5985782023121853,0.18622249474112063
302,Mufulira,2018,3.0143201,0.6036119999703278,0.6106598941262992,-0.0070478941559714015,0.5883814543280861,0.5989028979281977,-0.010521443600111646,0.5262157474118483,0.5985782023121853,-0.07236245490033699
303,Mufulira,2019,2.659152484,0.5633805077593431,0.6106598941262992,-0.047279386366956055,0.5290347566035738,0.5989028979281977,-0.06986814132462393,0.5045158586385471,0.5985782023121853,-0.0940623436736382
304,Mufulira,2020,3.192749764,0.6224989431674679,0.6106598941262992,0.011839049041168725,0.6088067976578507,0.5989028979281977,0.009903899729652998,0.593812862295405,0.5985782023121853,-0.004765340016780306
305,Mufulira,2021,3.408298783,0.644271022189168,0.6106598941262992,0.03361112806286881,0.6345345222147047,0.5989028979281977,0.03563162428650701,0.5690072718600897,0.5985782023121853,-0.02957093045209558
306,Mufumbwe,2016,2.8199039,0.5820524371984381,0.5201085753352331,0.061943861863204996,0.5987876618349353,0.4972821418637456,0.10150551997118967,0.6039065852529772,0.4893357159128687,0.11457086934010857
307,Mufumbwe,2017,2.1012104,0.4915312317191899,0.5201085753352331,-0.02857734361604325,0.507162792009748,0.4972821418637456,0.009880650146002423,0.5527831472334315,0.4893357159128687,0.0634474313205628
