district,year,ndvi_1,ndvi_2,ndvi_3,ndvi_4,ndvi_5,ndvi_6,ndvi_7,ndvi_8,ndvi_9,ndvi_10,ndvi_11,ndvi_12
Chililabombwe,2002,7339.34130859375,7326.4697265625,7404.81201171875,6994.4814453125,5873.2939453125,5026.8720703125,4347.79931640625,4133.79248046875,4295.73681640625,4904.84716796875,6245.88232421875,7050.5830078125
Chingola,2002,7172.71044921875,7259.9677734375,7233.10498046875,6762.6474609375,5715.65625,4857.41064453125,4135.86376953125,3871.058837890625,4179.15185546875,4766.0537109375,6255.9189453125,6999.96826171875
Kalulushi,2002,7624.693359375,7498.92138671875,7569.5791015625,7243.53466796875,6158.521484375,5297.92138671875,4569.2900390625,4133.02783203125,4349.26025390625,4806.93798828125,6448.1640625,7188.43310546875
Kitwe,2002,6975.685546875,6975.69189453125,7014.384765625,6698.7109375,5623.05908203125,4738.60595703125,4086.371826171875,3741.4755859375,3870.3525390625,4193.56298828125,5809.9951171875,6636.40283203125
Luanshya,2002,7180.00634765625,7205.35302734375,7051.19921875,6542.2578125,5420.208984375,4535.87939453125,3869.562744140625,3503.3232421875,3631.133056640625,4041.998046875,5391.89306640625,6740.5634765625
Lufwanyama,2002,7764.06005859375,7656.78466796875,7686.26123046875,7406.43310546875,6620.22802734375,5906.3095703125,5148.9306640625,4626.037109375,4921.75830078125,5572.0029296875,7124.41796875,7649.74755859375
Masaiti,2002,7501.2294921875,7598.97802734375,7480.05810546875,7066.60009765625,6194.08251953125,5335.66162109375,4574.82763671875,3992.748779296875,4139.232421875,4724.78515625,6077.4541015625,7161.9951171875
Mpongwe,2002,7703.05029296875,7549.67822265625,7448.8955078125,7048.83251953125,6266.900390625,5511.9853515625,4749.47900390625,4165.72412109375,4311.67529296875,5068.01806640625,6717.44384765625,7541.1572265625
Mufulira,2002,7222.59912109375,7174.189453125,7315.3779296875,6938.8818359375,6041.537109375,5188.01513671875,4478.76025390625,4109.60888671875,4207.30615234375,4612.22509765625,6231.1513671875,6993.74951171875
Ndola,2002,6911.10595703125,7150.95849609375,7016.26025390625,6612.9697265625,5442.9248046875,4509.83251953125,3825.293701171875,3539.428466796875,3751.486083984375,3898.126220703125,5106.69140625,6319.3212890625
